Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,6.531295,6.610253,-0.013716,0.000000,-9.471663,-41.570176,0.568141,0.432771,-89.543009,-126.296886,16.477220,-8.888458,18.917271,350.531987,0.000000,3600.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,8.362698,8.942893,-0.014647,0.000000,-10.097584,-51.384048,0.000000,2.677268,-12.204915,-101.019130,0.000000,-20.974634,0.000000,350.531987,0.000000,3600.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,9.365888,9.956371,-0.010187,0.000000,-7.016194,-49.984526,0.000000,2.667175,29.096634,-93.908424,0.000000,-22.614899,0.000000,350.531987,0.000000,3600.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,9.651343,10.409312,-0.008262,0.000000,-5.688660,-38.138287,0.000000,3.465596,37.563556,-75.808874,0.000000,-22.212093,0.000000,350.531987,0.000000,3600.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,9.826345,10.611385,-0.006478,0.000000,-4.459314,-32.827198,0.000000,3.588813,37.875114,-67.220872,0.000000,-22.560203,0.000000,350.531987,0.000000,3600.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,9.884609,10.711841,-0.005354,0.000000,-3.685291,-27.724046,0.000000,3.792127,33.312461,-59.155537,0.000000,-22.566393,0.000000,350.531987,0.000000,3600.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,10.019839,10.792568,-0.003460,0.000000,-2.381532,-27.566861,0.000000,3.518894,31.622366,-59.147909,0.000000,-22.957283,0.000000,350.531987,0.000000,3600.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,10.260136,10.955254,0.000059,0.000000,0.040839,-30.961900,0.000000,3.126130,31.563008,-63.433579,0.000000,-23.888767,0.000000,350.531987,0.000000,3600.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,10.396598,11.288715,0.002164,0.000000,1.488853,-31.266525,0.000000,4.086618,27.078234,-56.242266,0.000000,-25.549528,0.000000,350.531987,0.000000,450.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,10.589800,11.422198,0.004523,0.000000,3.111279,-31.839675,0.000000,3.783663,29.919262,-57.107544,0.000000,-25.890053,0.000000,350.531987,0.000000,450.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,10.440262,11.287729,0.001463,0.000000,1.006147,-20.563179,0.000000,3.865020,21.899249,-43.940950,0.000000,-24.814000,0.000000,350.531987,0.000000,450.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,9.516029,9.674635,-0.000167,0.000000,-0.114711,-0.207857,0.058327,0.566051,0.200032,-5.639592,1.641019,-11.780948,1.881945,350.531987,0.000000,759.375000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,9.288285,10.731041,-0.001895,0.004010,-1.304953,-2.341677,1.167867,6.837506,5.445798,-7.069244,32.874987,-24.924181,37.701636,350.531987,0.000000,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,10.304972,13.628823,-0.007354,0.040614,-5.059718,-13.428115,3.351533,16.200698,38.232397,3.725542,95.170681,-50.526478,109.127149,350.531987,0.000000,450.000000
