Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],lowest_thawed_soil_depth[mm],highest_thawed_soil_depth[mm],lowest_water_table_depth[mm],highest_water_table_depth[mm]
02/10/2014 01:00,735874.041667,0.041667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.230000,52.642883,0.777800,0.000000,10.250000,6.545127,4.715231,5.726135,6.433464,21.557289,21.557289,0.000000,0.000000,0.000000,326.734261,270.488526,294.396049,0.000000,4.489042,-11.437020,-5.631227,1.000000,4.000000,0.040000,0.266800,13.359554,0.000000,-21.367482,-29.749388,-4.977648,0.000000,0.000000,-11.437020,-5.630412,-0.008142,0.000000,0.000000,0.000000,0.008398,0.007808,0.008867,0.008426,6.277617,16.981925,0.506418,2.065378,0.000000,342.892719,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 02:00,735874.083333,0.083333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.339920,53.230113,0.796594,0.000000,9.340216,6.006758,5.363580,6.129578,6.723664,18.607663,18.607663,0.000000,0.000000,0.000000,322.355425,266.535223,290.489850,0.000000,3.220859,-11.328331,-4.058473,1.000000,4.000000,0.040000,0.266800,-0.458630,0.000000,-26.294603,-27.023446,1.187473,0.000000,0.000000,-11.328331,-4.058027,-0.005871,0.000000,0.000000,0.000000,0.008616,0.008168,0.008542,0.008463,10.892536,34.642383,0.584626,2.041307,0.000000,344.870479,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 03:00,735874.125000,0.125000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.350000,52.450623,0.807800,0.000000,8.700000,5.584654,5.462891,5.871373,6.444482,12.126949,12.126949,0.000000,0.000000,0.000000,319.272147,263.709814,287.744363,0.000000,1.498874,-8.678413,-1.949662,1.000000,4.000000,0.040000,0.266800,-0.170604,0.000000,-26.204829,-26.748320,0.714096,0.000000,0.000000,-8.678413,-1.949521,-0.002821,0.000000,0.000000,0.000000,0.008462,0.008225,0.008295,0.008263,13.170672,50.755540,0.602305,2.028213,0.000000,343.627520,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 04:00,735874.166667,0.166667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.450000,52.931132,0.820500,0.000000,8.170000,5.291892,5.454071,5.675392,6.225111,8.855319,8.855319,0.000000,0.000000,0.000000,316.776182,261.484625,285.514430,0.000000,0.587535,-7.573259,-0.694524,1.000000,4.000000,0.040000,0.266800,-0.234535,0.000000,-26.746026,-26.756730,0.245239,0.000000,0.000000,-7.573259,-0.694487,-0.001005,0.000000,0.000000,0.000000,0.008348,0.008220,0.008127,0.008117,17.314513,74.427247,0.648173,2.019283,0.000000,342.679171,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 05:00,735874.208333,0.208333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.390039,52.572105,0.821495,0.000000,7.859968,5.006359,5.371084,5.453052,5.994959,5.660502,5.660502,0.000000,0.000000,0.000000,315.245915,260.001416,284.161488,0.000000,-0.077724,-5.977284,0.239058,1.000000,4.000000,0.040000,0.266800,-0.264615,0.000000,-26.435329,-26.195460,0.024746,0.000000,0.000000,-5.977284,0.239050,0.000346,0.000000,0.000000,0.000000,0.008219,0.008172,0.007966,0.007973,17.137121,88.400421,0.631615,2.016250,0.000000,341.599432,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 06:00,735874.250000,0.250000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.380000,53.830765,0.816000,0.000000,7.510000,4.568391,5.230510,5.198204,5.734748,2.764355,2.764355,0.000000,0.000000,0.000000,313.448825,258.148009,282.585982,0.000000,-0.624873,-4.863195,1.473967,1.000000,4.000000,0.040000,0.266800,-0.262575,0.000000,-26.358344,-26.095769,0.000000,0.000000,0.000000,-4.863195,1.473943,0.002132,0.000000,0.000000,0.000000,0.008074,0.008092,0.007725,0.007759,17.926822,111.547700,0.631925,2.012899,0.000000,340.361070,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 07:00,735874.291667,0.291667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.890000,53.627016,0.798400,0.000000,7.410000,4.159687,5.001152,4.775554,5.290476,-1.021746,-1.021746,2.524938,0.000000,2.524938,312.749194,257.162207,282.004208,0.078256,-1.504862,-1.811477,1.406616,1.000000,4.000000,0.040000,0.266800,-0.535026,2.201697,-24.005348,-21.339000,0.070376,0.000000,0.000000,-1.811477,1.406625,0.002034,0.000102,0.000000,0.000000,0.007839,0.007964,0.007506,0.007561,8.165194,114.496084,0.451764,2.013275,0.244985,338.315271,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 08:00,735874.333333,0.333333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.879454,93.311457,0.724558,0.000000,7.280456,2.659981,4.715745,3.810860,3.909725,-4.558387,-4.558387,16.530899,0.038255,16.492645,311.225988,254.377800,280.813891,0.511554,-4.598486,0.270196,0.201259,1.000000,4.000000,0.040000,0.266800,-1.250708,14.414670,-17.710802,-2.347393,0.301968,0.000000,0.000000,0.270196,0.201265,0.000291,0.000436,0.000000,0.000000,0.007325,0.007806,0.006749,0.007071,0.375389,-3.643907,0.138843,1.788499,1.604676,333.702056,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 09:00,735874.375000,0.375000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.810000,211.867761,0.726300,0.000000,7.720000,3.117217,4.730661,5.014879,5.084575,2.039961,2.039961,33.353203,0.163166,33.190038,313.398559,256.505572,282.732077,1.031517,0.876257,-0.118836,-0.013349,1.000000,4.000000,0.040000,0.266800,2.517743,29.084798,-26.999565,-1.499425,1.066916,0.000000,0.000000,-0.118836,-0.013349,-0.000019,0.001543,0.000000,0.000000,0.007975,0.007814,0.006972,0.007619,0.423090,-11.143610,0.127499,2.172268,3.236888,339.443121,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
02/10/2014 10:00,735874.416667,0.416667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.559999,199.842748,0.698600,0.000000,9.660000,4.429307,7.314234,12.595008,11.128023,68.673844,68.673844,269.696631,46.477423,223.219208,322.674895,264.954165,290.998343,8.263956,25.124213,-33.116662,-2.169014,1.000000,4.000000,0.040000,0.266800,11.509661,235.492612,-82.311727,63.890859,77.780366,0.000000,0.000000,-33.116662,-2.168031,-0.003140,0.113331,0.000000,0.000000,0.013374,0.009364,0.007650,0.009288,-20.325254,8.452652,0.498195,2.166047,25.940063,377.551782,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,1000.000000,1000.000000
