Date,JDfrom0,Iprec,WindX,WindY,AirT,DewT,Swglobal,CloudTrans,AirTt
02/10/2009 00:00,734047,0,-0.475832,-3.880939,13.01,-1.107862,0,-9999,15
02/10/2009 01:00,734047.0417,0,-0.682657,-3.422584,13.58,0.397986,0,-9999,15
02/10/2009 02:00,734047.0833,0,-3.802668,0.363476,13.01,0.294758,0,-9999,15
02/10/2009 03:00,734047.125,0,-0.414183,-3.646554,12.36,-0.004554,0,-9999,15
02/10/2009 04:00,734047.1667,0,-3.217657,0.457367,12.07,-0.685723,0,-9999,15
02/10/2009 05:00,734047.2083,0,-1.126975,-2.387368,11.61,-0.542336,0,-9999,15
02/10/2009 06:00,734047.25,0,-1.410993,-2.749036,11.13,-0.725291,0,-9999,15
02/10/2009 07:00,734047.2917,0,-0.313448,-2.349181,10.44,-1.327156,0,-9999,15
02/10/2009 08:00,734047.3333,0,0.688278,-3.104621,10.07,-2.353297,5.96,-9999,15
02/10/2009 09:00,734047.375,0,1.429213,-3.445323,10.65,-2.702578,32.41,-9999,15
02/10/2009 10:00,734047.4167,0,0.627596,-3.453436,11.47,-3.137338,197.32,-9999,15
02/10/2009 11:00,734047.4583,0,1.256405,-3.405635,12.38,-4.081227,396.02,-9999,15
02/10/2009 12:00,734047.5,0,1.437689,-2.344259,13.12,-3.844029,500.07,-9999,15
02/10/2009 13:00,734047.5417,0,2.059095,-1.807686,13.96,-3.245137,564.02,-9999,15
02/10/2009 14:00,734047.5833,0,2.5504,-1.814486,15.04,-3.204367,580.02,-9999,15
02/10/2009 15:00,734047.625,0,1.428514,-3.358846,15.76,-2.602546,543.85,-9999,15
02/10/2009 16:00,734047.6667,0,1.00378,-4.714321,16.49,-1.570632,467.18,-9999,15
02/10/2009 17:00,734047.7083,0,1.060443,-5.345836,15.96,-0.542787,344.57,-9999,15
02/10/2009 18:00,734047.75,0,0.546166,-5.713957,15.26,-0.001022,198.8,-9999,15
02/10/2009 19:00,734047.7917,0,5.269524,0.070822,13.74,-0.54826,48.53,-9999,15
02/10/2009 20:00,734047.8333,0,5.405294,0.225604,12.57,-0.759663,2.39,-9999,15
02/10/2009 21:00,734047.875,0,-0.035059,2.78978,12.07,-1.133225,0,-9999,15
02/10/2009 22:00,734047.9167,0,2.562328,0.301458,11.47,-1.867272,0,-9999,15
02/10/2009 23:00,734047.9583,0,2.848275,0.258712,10.85,-1.457745,0,-9999,15
03/10/2009 00:00,734048,0,3.299111,0.076596,10.83,-0.122109,0,-9999,15
03/10/2009 01:00,734048.0417,0,3.696835,0.153004,10.63,0.141393,0,-9999,15
03/10/2009 02:00,734048.0833,0,-0.074763,3.149113,9.93,0.04862,0,-9999,15
03/10/2009 03:00,734048.125,0,0.142108,2.926552,9.56,0.064184,0,-9999,15
03/10/2009 04:00,734048.1667,0,-1.147204,-1.865482,9.08,0.164289,0,-9999,15
03/10/2009 05:00,734048.2083,0,-1.44721,-1.562845,8.72,-0.193616,0,-9999,15
03/10/2009 06:00,734048.25,0,-1.800601,-1.414899,7.9,-1.722923,0,-9999,15
03/10/2009 07:00,734048.2917,0,-2.021701,-1.570454,6.99,-3.048619,0,-9999,15
03/10/2009 08:00,734048.3333,0,-1.391127,-0.331157,6.95,-3.960107,5.08,-9999,15
