Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
16/10/2010 12:00,734427.500000,0.000000,0,1,8,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
16/10/2010 13:00,734427.541667,0.041667,1,1,8,5.975270,5.637419,5.279343,4.762639,4.127312,4.007267,4.000093,4.000000 
16/10/2010 14:00,734427.583333,0.083333,1,1,8,6.042746,5.819268,5.568808,5.163561,4.402621,4.046929,4.001166,4.000005 
16/10/2010 15:00,734427.625000,0.125000,1,1,8,5.845155,5.725633,5.573520,5.286816,4.630227,4.114775,4.004487,4.000029 
16/10/2010 16:00,734427.666667,0.166667,1,1,8,5.220373,5.234431,5.226614,5.146684,4.745952,4.192434,4.010668,4.000094 
16/10/2010 17:00,734427.708333,0.208333,1,1,8,4.449883,4.576080,4.695923,4.814222,4.723262,4.258807,4.019452,4.000225 
16/10/2010 18:00,734427.750000,0.250000,1,1,8,3.721327,3.918931,4.125520,4.392265,4.587959,4.297967,4.029825,4.000439 
16/10/2010 19:00,734427.791667,0.291667,1,1,8,3.289744,3.484568,3.699565,4.010471,4.390316,4.303280,4.040392,4.000743 
16/10/2010 20:00,734427.833333,0.333333,1,1,8,2.967255,3.157029,3.372084,3.699912,4.181234,4.277628,4.049799,4.001129 
16/10/2010 21:00,734427.875000,0.375000,1,1,8,2.334180,2.517522,2.750145,3.141013,3.797118,4.172812,4.060671,4.001982 
16/10/2010 22:00,734427.916667,0.416667,1,1,8,1.963154,2.127000,2.338735,2.708742,3.406082,3.997455,4.059940,4.003002 
16/10/2010 23:00,734427.958333,0.458333,1,1,8,1.709198,1.860861,2.057244,2.405152,3.094018,3.800611,4.044300,4.003857 
17/10/2010 00:00,734428.000000,0.500000,1,1,8,1.525756,1.668670,1.852233,2.178501,2.844017,3.607344,4.015027,4.004304 
17/10/2010 01:00,734428.041667,0.541667,1,1,8,1.492265,1.629778,1.799099,2.097744,2.731147,3.507042,3.993985,4.004299 
17/10/2010 02:00,734428.083333,0.583333,1,1,8,1.440335,1.577054,1.743939,2.034923,2.645119,3.421381,3.972319,4.004109 
17/10/2010 03:00,734428.125000,0.625000,1,1,8,1.365281,1.504352,1.673098,1.964591,2.566498,3.341284,3.948623,4.003725 
17/10/2010 04:00,734428.166667,0.666667,1,1,8,1.296283,1.434658,1.602599,1.892691,2.490920,3.266000,3.923229,4.003131 
17/10/2010 05:00,734428.208333,0.708333,1,1,8,1.212063,1.353154,1.523859,1.817267,2.417027,3.194661,3.896417,4.002317 
17/10/2010 06:00,734428.250000,0.750000,1,1,8,1.139859,1.280078,1.450072,1.743061,2.344047,3.126415,3.868411,4.001274 
17/10/2010 07:00,734428.291667,0.791667,1,1,8,1.134334,1.259074,1.413807,1.688623,2.275535,3.060840,3.839394,3.999993 
17/10/2010 08:00,734428.333333,0.833333,1,1,8,1.385383,1.434443,1.524019,1.721762,2.203266,2.954309,3.785260,3.997073 
17/10/2010 09:00,734428.375000,0.875000,1,1,8,2.697455,2.500676,2.314472,2.131028,2.242910,2.898964,3.748544,3.994682 
17/10/2010 10:00,734428.416667,0.916667,1,1,8,3.793717,3.492023,3.175028,2.761593,2.440594,2.882181,3.718537,3.992419 
17/10/2010 11:00,734428.458333,0.958333,1,1,8,4.919702,4.519316,4.083336,3.467216,2.754276,2.907233,3.690585,3.989927 
17/10/2010 12:00,734428.500000,1.000000,1,1,8,6.227308,5.705173,5.127035,4.281192,3.163014,2.980030,3.666419,3.987232 
17/10/2010 13:00,734428.541667,1.041667,1,1,8,7.036181,6.519646,5.931095,5.022954,3.634405,3.102332,3.647817,3.984377 
17/10/2010 14:00,734428.583333,1.083333,1,1,8,7.057790,6.674424,6.218231,5.458908,4.077699,3.265336,3.636306,3.981419 
17/10/2010 15:00,734428.625000,1.125000,1,1,8,7.705516,7.239360,6.709920,5.878030,4.457385,3.450854,3.632697,3.978425 
17/10/2010 16:00,734428.666667,1.166667,1,1,8,6.221452,6.158110,6.042743,5.733443,4.728219,3.643999,3.637100,3.975463 
17/10/2010 17:00,734428.708333,1.208333,1,1,8,4.634377,4.845883,5.023290,5.142196,4.761276,3.813727,3.648669,3.972600 
17/10/2010 18:00,734428.750000,1.250000,1,1,8,3.339526,3.657678,3.985104,4.389052,4.583909,3.931307,3.665301,3.969886 
17/10/2010 19:00,734428.791667,1.291667,1,1,8,2.667828,2.967504,3.296856,3.766556,4.293925,3.985064,3.684210,3.967352 
17/10/2010 20:00,734428.833333,1.333333,1,1,8,2.200345,2.485210,2.807771,3.296720,3.986711,3.981857,3.702750,3.965003 
17/10/2010 21:00,734428.875000,1.375000,1,1,8,1.832456,2.107052,2.423411,2.919191,3.697238,3.935717,3.718923,3.962823 
17/10/2010 22:00,734428.916667,1.416667,1,1,8,1.522027,1.789732,2.101530,2.600269,3.432381,3.859791,3.731425,3.960785 
17/10/2010 23:00,734428.958333,1.458333,1,1,8,1.265391,1.525042,1.830148,2.326118,3.191114,3.764299,3.739507,3.958851 
18/10/2010 00:00,734429.000000,1.500000,1,1,8,1.038759,1.292424,1.592324,2.085215,2.971021,3.656772,3.742822,3.956981 
18/10/2010 01:00,734429.041667,1.541667,1,1,8,0.795899,1.052681,1.356570,1.857229,2.766907,3.542411,3.741301,3.955133 
18/10/2010 02:00,734429.083333,1.583333,1,1,8,0.576254,0.832518,1.136911,1.641637,2.573439,3.424303,3.735039,3.953264 
18/10/2010 03:00,734429.125000,1.625000,1,1,8,0.393911,0.644880,0.944576,1.445946,2.390199,3.304468,3.724225,3.951336 
18/10/2010 04:00,734429.166667,1.666667,1,1,8,0.229832,0.476227,0.771492,1.268430,2.218125,3.184593,3.709109,3.949311 
18/10/2010 05:00,734429.208333,1.708333,1,1,8,0.075834,0.319056,0.611086,1.104372,2.056631,3.066007,3.689986,3.947154 
18/10/2010 06:00,734429.250000,1.750000,1,1,8,-0.004102,0.214955,0.486017,0.959032,1.905049,2.949608,3.667177,3.944833 
18/10/2010 07:00,734429.291667,1.791667,1,1,8,-0.004127,0.192949,0.438203,0.871512,1.772996,2.836793,3.641025,3.942319 
18/10/2010 08:00,734429.333333,1.833333,1,1,8,0.668646,0.697091,0.767668,0.979443,1.686583,2.731039,3.611948,3.939587 
18/10/2010 09:00,734429.375000,1.875000,1,1,8,2.119986,1.859443,1.635864,1.461603,1.725187,2.644056,3.580645,3.936617 
18/10/2010 10:00,734429.416667,1.916667,1,1,8,3.385269,2.968507,2.571903,2.127074,1.919592,2.594147,3.548441,3.933397 
18/10/2010 11:00,734429.458333,1.958333,1,1,8,5.275375,4.628644,3.965516,3.106394,2.274615,2.595640,3.517249,3.929930 
18/10/2010 12:00,734429.500000,2.000000,1,1,8,7.359354,6.523484,5.624946,4.362827,2.818014,2.663868,3.489467,3.926239 
18/10/2010 13:00,734429.541667,2.041667,1,1,8,9.352973,8.389797,7.320677,5.738206,3.527041,2.810774,3.467925,3.922368 
18/10/2010 14:00,734429.583333,2.083333,1,1,8,10.364164,9.502654,8.498960,6.902266,4.317066,3.037559,3.455552,3.918386 
18/10/2010 15:00,734429.625000,2.125000,1,1,8,10.368187,9.745866,8.965911,7.605722,5.045396,3.326620,3.454732,3.914385 
