Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
16/10/2010 12:00,734427.500000,0.000000,0,1,3,0.038000,0.038181,0.038412,0.038843,0.039932,0.042326,0.048662,0.086850 
16/10/2010 13:00,734427.541667,0.041667,1,1,3,0.193617,0.196665,0.199365,0.204172,0.183093,0.203946,0.048644,0.086843 
16/10/2010 14:00,734427.583333,0.083333,1,1,3,0.192624,0.196403,0.199286,0.204146,0.183084,0.203934,0.048636,0.086840 
16/10/2010 15:00,734427.625000,0.125000,1,1,3,0.191981,0.196154,0.199219,0.204128,0.183081,0.203928,0.048633,0.086839 
16/10/2010 16:00,734427.666667,0.166667,1,1,3,0.191558,0.195921,0.199155,0.204113,0.183080,0.203924,0.048633,0.086839 
16/10/2010 17:00,734427.708333,0.208333,1,1,3,0.191297,0.195712,0.199092,0.204099,0.183079,0.203921,0.048633,0.086839 
16/10/2010 18:00,734427.750000,0.250000,1,1,3,0.190971,0.195501,0.199024,0.204084,0.183079,0.203918,0.048633,0.086839 
16/10/2010 19:00,734427.791667,0.291667,1,1,3,0.190451,0.195266,0.198943,0.204067,0.183077,0.203914,0.048633,0.086839 
16/10/2010 20:00,734427.833333,0.333333,1,1,3,0.189887,0.195015,0.198856,0.204048,0.183076,0.203911,0.048633,0.086839 
16/10/2010 21:00,734427.875000,0.375000,1,1,3,0.189323,0.194751,0.198764,0.204029,0.183075,0.203907,0.048633,0.086839 
16/10/2010 22:00,734427.916667,0.416667,1,1,3,0.188837,0.194490,0.198671,0.204010,0.183074,0.203904,0.048633,0.086839 
16/10/2010 23:00,734427.958333,0.458333,1,1,3,0.188340,0.194222,0.198572,0.203990,0.183072,0.203901,0.048633,0.086839 
17/10/2010 00:00,734428.000000,0.500000,1,1,3,0.188162,0.193998,0.198483,0.203973,0.183072,0.203897,0.048633,0.086839 
17/10/2010 01:00,734428.041667,0.541667,1,1,3,0.181908,0.193598,0.198391,0.203955,0.183071,0.203894,0.048633,0.086839 
17/10/2010 02:00,734428.083333,0.583333,1,1,3,0.169469,0.192525,0.198274,0.203937,0.183070,0.203891,0.048633,0.086839 
17/10/2010 03:00,734428.125000,0.625000,1,1,3,0.155053,0.190553,0.198102,0.203917,0.183069,0.203887,0.048633,0.086839 
17/10/2010 04:00,734428.166667,0.666667,1,1,3,0.139293,0.187584,0.197841,0.203894,0.183068,0.203884,0.048633,0.086839 
17/10/2010 05:00,734428.208333,0.708333,1,1,3,0.120682,0.183414,0.197449,0.203868,0.183067,0.203881,0.048633,0.086839 
17/10/2010 06:00,734428.250000,0.750000,1,1,3,0.104043,0.178045,0.196882,0.203836,0.183066,0.203878,0.048633,0.086839 
17/10/2010 07:00,734428.291667,0.791667,1,1,3,0.093520,0.172117,0.196120,0.203801,0.183066,0.203874,0.048633,0.086839 
17/10/2010 08:00,734428.333333,0.833333,1,1,3,0.096411,0.167237,0.195186,0.203762,0.183067,0.203871,0.048633,0.086839 
17/10/2010 09:00,734428.375000,0.875000,1,1,3,0.106585,0.164519,0.194164,0.203713,0.183068,0.203868,0.048633,0.086839 
17/10/2010 10:00,734428.416667,0.916667,1,1,3,0.121663,0.163456,0.193147,0.203652,0.183069,0.203865,0.048633,0.086839 
17/10/2010 11:00,734428.458333,0.958333,1,1,3,0.144725,0.163759,0.192201,0.203579,0.183069,0.203861,0.048632,0.086838 
17/10/2010 12:00,734428.500000,1.000000,1,1,3,0.184082,0.165487,0.191375,0.203494,0.183068,0.203857,0.048632,0.086838 
17/10/2010 13:00,734428.541667,1.041667,1,1,3,0.229635,0.171350,0.190763,0.203400,0.183067,0.203854,0.048632,0.086838 
17/10/2010 14:00,734428.583333,1.083333,1,1,3,0.259881,0.184896,0.190591,0.203304,0.183066,0.203851,0.048632,0.086838 
17/10/2010 15:00,734428.625000,1.125000,1,1,3,0.284644,0.206659,0.191104,0.203212,0.183065,0.203848,0.048632,0.086838 
17/10/2010 16:00,734428.666667,1.166667,1,1,3,0.282836,0.223760,0.192779,0.203135,0.183063,0.203845,0.048632,0.086838 
17/10/2010 17:00,734428.708333,1.208333,1,1,3,0.273223,0.232479,0.195456,0.203088,0.183062,0.203841,0.048632,0.086838 
17/10/2010 18:00,734428.750000,1.250000,1,1,3,0.265143,0.235705,0.198460,0.203076,0.183060,0.203838,0.048632,0.086838 
17/10/2010 19:00,734428.791667,1.291667,1,1,3,0.255542,0.236180,0.201332,0.203097,0.183057,0.203835,0.048632,0.086838 
17/10/2010 20:00,734428.833333,1.333333,1,1,3,0.242035,0.234531,0.203829,0.203148,0.183055,0.203832,0.048632,0.086838 
17/10/2010 21:00,734428.875000,1.375000,1,1,3,0.228386,0.231723,0.205827,0.203226,0.183053,0.203829,0.048632,0.086838 
17/10/2010 22:00,734428.916667,1.416667,1,1,3,0.213130,0.228207,0.207325,0.203326,0.183051,0.203826,0.048632,0.086838 
17/10/2010 23:00,734428.958333,1.458333,1,1,3,0.198102,0.224008,0.208352,0.203441,0.183049,0.203823,0.048632,0.086838 
18/10/2010 00:00,734429.000000,1.500000,1,1,3,0.172160,0.218424,0.208925,0.203563,0.183047,0.203820,0.048632,0.086838 
18/10/2010 01:00,734429.041667,1.541667,1,1,3,0.140363,0.210431,0.209031,0.203686,0.183046,0.203816,0.048632,0.086838 
18/10/2010 02:00,734429.083333,1.583333,1,1,3,0.111266,0.199820,0.208663,0.203802,0.183044,0.203813,0.048632,0.086838 
18/10/2010 03:00,734429.125000,1.625000,1,1,3,0.088899,0.187503,0.207780,0.203904,0.183042,0.203810,0.048632,0.086838 
18/10/2010 04:00,734429.166667,1.666667,1,1,3,0.076738,0.175481,0.206340,0.203984,0.183041,0.203807,0.048632,0.086838 
18/10/2010 05:00,734429.208333,1.708333,1,1,3,0.068211,0.165008,0.204428,0.204040,0.183039,0.203804,0.048632,0.086838 
18/10/2010 06:00,734429.250000,1.750000,1,1,3,0.059742,0.155381,0.202118,0.204065,0.183037,0.203801,0.048632,0.086838 
18/10/2010 07:00,734429.291667,1.791667,1,1,3,0.052762,0.145892,0.199450,0.204056,0.183035,0.203798,0.048632,0.086838 
18/10/2010 08:00,734429.333333,1.833333,1,1,3,0.056529,0.139987,0.196569,0.204014,0.183032,0.203795,0.048632,0.086838 
18/10/2010 09:00,734429.375000,1.875000,1,1,3,0.071754,0.138653,0.193820,0.203938,0.183029,0.203792,0.048632,0.086838 
18/10/2010 10:00,734429.416667,1.916667,1,1,3,0.098124,0.139862,0.191437,0.203835,0.183024,0.203785,0.048628,0.086837 
18/10/2010 11:00,734429.458333,1.958333,1,1,3,0.132267,0.142160,0.189440,0.203706,0.183017,0.203777,0.048623,0.086835 
18/10/2010 12:00,734429.500000,2.000000,1,1,3,0.178214,0.145480,0.187809,0.203557,0.183009,0.203769,0.048618,0.086832 
18/10/2010 13:00,734429.541667,2.041667,1,1,3,0.232243,0.154975,0.186627,0.203391,0.182998,0.203757,0.048609,0.086829 
18/10/2010 14:00,734429.583333,2.083333,1,1,3,0.275361,0.178748,0.186251,0.203215,0.182984,0.203742,0.048597,0.086824 
18/10/2010 15:00,734429.625000,2.125000,1,1,3,0.290170,0.212043,0.187056,0.203040,0.182963,0.203721,0.048579,0.086817 
18/10/2010 16:00,734429.666667,2.166667,1,1,3,0.270876,0.225255,0.189377,0.202888,0.182941,0.203700,0.048561,0.086810 
18/10/2010 17:00,734429.708333,2.208333,1,1,3,0.260487,0.229258,0.192228,0.202789,0.182937,0.203697,0.048561,0.086810 
18/10/2010 18:00,734429.750000,2.250000,1,1,3,0.245490,0.229635,0.194963,0.202727,0.182933,0.203694,0.048561,0.086810 
18/10/2010 19:00,734429.791667,2.291667,1,1,3,0.216553,0.226521,0.197263,0.202697,0.182928,0.203690,0.048561,0.086810 
18/10/2010 20:00,734429.833333,2.333333,1,1,3,0.184199,0.221047,0.198935,0.202690,0.182923,0.203687,0.048561,0.086810 
18/10/2010 21:00,734429.875000,2.375000,1,1,3,0.152253,0.213251,0.199936,0.202697,0.182918,0.203684,0.048561,0.086810 
18/10/2010 22:00,734429.916667,2.416667,1,1,3,0.119351,0.202930,0.200298,0.202711,0.182914,0.203681,0.048561,0.086810 
