Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
15/03/2013 01:00,735308.041667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.505120,-1.630977,-8.947046,0.003285,0.000000,2.586475,16.694079,0.000000,-82.068821,0.000000,0.922123,0.000000,-3.210052,0.000000,214.838459,0.000000,3600.000000
15/03/2013 02:00,735308.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.704960,-1.322300,-10.970427,0.007977,0.000000,6.281200,17.247361,0.000000,-82.323996,0.000000,-1.660019,0.000000,-2.914975,0.000000,217.369999,0.000062,3600.000000
15/03/2013 03:00,735308.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.905280,-1.032390,-11.380934,0.011093,0.000000,8.734584,18.315206,0.000000,-85.474951,0.000000,-1.937773,0.000000,-2.187950,0.000000,215.372235,0.000000,3600.000000
15/03/2013 04:00,735308.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.102560,-0.943242,-11.758059,0.011268,0.000000,8.872447,18.963446,0.000000,-88.993835,0.000000,-2.176041,0.000000,-2.406042,0.000000,211.865597,0.000000,3600.000000
15/03/2013 05:00,735308.208333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.200000,-0.864359,-12.015059,0.010989,0.000000,8.652852,19.356760,0.000000,-91.399681,0.000000,-2.386990,0.000000,-2.543679,0.000000,209.562741,0.000135,3600.000000
15/03/2013 06:00,735308.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.200000,-0.793136,-11.982267,0.009987,0.000000,7.863958,19.499321,0.000000,-91.095712,0.000000,-2.342735,0.000000,-2.322787,0.000000,210.283731,0.000014,3600.000000
15/03/2013 07:00,735308.291667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.197440,-0.723558,-11.657071,0.008935,0.000000,7.035268,19.614677,4.622516,-92.464980,0.000000,-1.916073,2.542992,-4.261871,6.490509,208.826619,0.000000,3600.000000
15/03/2013 08:00,735308.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.082640,-0.548314,-9.244725,0.007186,0.000000,5.658491,19.580051,32.185249,-94.680078,0.000000,1.492929,17.762355,-15.057998,45.211030,205.663025,0.000000,3600.000000
15/03/2013 09:00,735308.375000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.381520,0.258411,2.887838,0.009226,0.028886,7.265028,19.242818,164.226445,-91.276202,20.013026,30.264964,123.729808,-65.399295,241.706352,206.105431,0.000001,3600.000000
15/03/2013 10:00,735308.416667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.676960,1.336073,8.965865,0.012694,0.067829,9.995581,19.630113,310.170880,-91.553239,46.720825,44.654741,186.078246,-92.765619,440.231840,207.177660,0.000293,3600.000000
15/03/2013 11:00,735308.458333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.775200,2.896573,12.294011,0.020061,0.091280,15.796155,20.531956,444.287569,-97.066314,62.673753,51.074459,224.716474,-109.065182,616.449014,206.555942,0.000084,3600.000000
