Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,36.562819 ,80.558334 ,153.427308 ,274.118870 ,474.018115 ,805.107612 ,1353.485145 ,2261.752912 ,3766.100351 ,6257.723746 ,10384.554413 ,17219.749244  
15/03/2013 00:00,735308.000000,0.000000,0,1,1,-7610.657600,-6864.222332,-159.838304,-86.969330,33.722232,233.621477,564.710974,1113.088506,2021.356273,3525.703713,6017.327108,10144.157775,16979.352605 
15/03/2013 01:00,735308.041667,0.041667,1,1,1,-2712.269651,-586.116464,-321.956496,-250.012160,-132.335551,47.027493,343.031417,830.167314,1627.476882,2916.985201,4938.916575,7777.286671,9181.657113 
15/03/2013 02:00,735308.083333,0.083333,1,1,1,-1079.063194,-1044.880832,-373.791447,-302.794416,-181.307015,-326.692809,-25.017135,449.368269,1222.701951,2463.293760,4371.402475,6885.123522,7091.159523 
15/03/2013 03:00,735308.125000,0.125000,1,1,1,-1076.639219,-1031.752138,-401.529732,-330.730219,-209.067119,-357.577880,-52.055137,343.356176,1109.103004,2334.496715,4208.263234,6628.520722,6516.316336 
15/03/2013 04:00,735308.166667,0.166667,1,1,1,-1200.763525,-1020.602793,-421.849158,-351.127760,-230.910567,-386.387679,-79.481130,88.414008,853.603413,2077.724805,3948.043323,6356.447308,6191.702520 
15/03/2013 05:00,735308.208333,0.208333,1,1,1,-1565.235369,-938.085644,-436.270846,-365.638706,-249.120803,-408.507597,-99.824630,-178.364813,586.685779,1810.513133,3680.105468,6086.241301,5912.054988 
15/03/2013 06:00,735308.250000,0.250000,1,1,1,-2209.838149,-857.606207,-450.123396,-379.590737,-263.190483,-424.710937,-114.275257,-314.598368,375.398836,1598.404845,3466.279883,5868.349954,5683.446934 
15/03/2013 07:00,735308.291667,0.291667,1,1,1,-3375.819045,-799.623232,-462.067520,-391.587821,-275.241221,-437.930372,-126.482710,-443.663894,127.571487,1350.936835,3219.521639,5623.082547,5441.070467 
15/03/2013 08:00,735308.333333,0.333333,1,1,1,-5135.513183,-758.011179,-472.617623,-402.172542,-285.857558,-449.050803,-136.824137,-529.596286,-9.214721,1212.719887,3078.362235,5475.187835,5276.780098 
15/03/2013 09:00,735308.375000,0.375000,1,1,1,-3480.371072,-727.775739,-482.184161,-411.762043,-295.462343,-458.523044,-145.639386,-579.077361,-19.882651,943.620215,2812.458806,5216.420589,5034.407663 
15/03/2013 10:00,735308.416667,0.416667,1,1,1,-1431.696488,-752.164772,-491.374144,-420.942313,-304.619250,-466.769924,-153.349088,-615.511460,-31.094429,587.761154,2459.457527,4870.238151,4706.239636 
15/03/2013 11:00,735308.458333,0.458333,1,1,1,-595.958385,-570.966659,-498.669948,-428.334452,-312.110398,-474.093542,-160.232011,-645.142382,-43.044456,93.212309,1969.211312,4390.148638,4252.513442 
15/03/2013 12:00,735308.500000,0.500000,1,1,1,-552.948408,-527.381071,-498.793888,-436.058435,-319.771404,-480.672864,-166.461605,-669.961632,-51.446464,-91.469321,1776.605562,4179.642359,3999.800598 
15/03/2013 13:00,735308.541667,0.541667,1,1,1,-561.110175,-535.466436,-493.079798,-443.344806,-327.047501,-486.679375,-172.166097,-691.229194,-57.906260,-152.981203,1710.534807,4102.471294,3892.167325 
15/03/2013 14:00,735308.583333,0.583333,1,1,1,-562.728006,-537.071033,-494.580709,-450.291295,-333.983197,-492.207069,-177.435843,-709.808342,-63.399175,-207.242861,1539.490426,3936.441734,3736.271420 
15/03/2013 15:00,735308.625000,0.625000,1,1,1,-564.459403,-538.802509,-496.312831,-456.930756,-340.612840,-497.329895,-182.337681,-726.288492,-68.296326,-257.952292,1349.498208,3748.410093,3553.816374 
