Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,36.562819 ,80.558334 ,153.427308 ,274.118870 ,474.018115 ,805.107612 ,1353.485145 ,2261.752912 ,3766.100351 ,6257.723746 ,10384.554413 ,17219.749244  
15/03/2013 00:00,735308.000000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 01:00,735308.041667,0.041667,1,1,1,-0.089038,1.850352,3.264892,3.893337,3.992083,3.999768,3.999997,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 02:00,735308.083333,0.083333,1,1,1,-0.030170,1.182495,2.502528,3.708370,3.967566,3.998922,3.999986,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 03:00,735308.125000,0.125000,1,1,1,-0.011239,0.787515,2.031778,3.498387,3.926113,3.996976,3.999953,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 04:00,735308.166667,0.166667,1,1,1,-0.011577,0.589087,1.732817,3.291381,3.870349,3.993621,3.999878,3.999999,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 05:00,735308.208333,0.208333,1,1,1,-0.013236,0.474244,1.534062,3.099350,3.803578,3.988614,3.999734,3.999998,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 06:00,735308.250000,0.250000,1,1,1,-0.017884,0.400081,1.389648,2.925478,3.729030,3.981815,3.999492,3.999996,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 07:00,735308.291667,0.291667,1,1,1,-0.027136,0.343537,1.275749,2.769209,3.649616,3.973168,3.999122,3.999993,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 08:00,735308.333333,0.333333,1,1,1,-0.041260,0.296587,1.181175,2.628786,3.567574,3.962677,3.998595,3.999988,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 09:00,735308.375000,0.375000,1,1,1,-0.027967,0.285884,1.113346,2.504095,3.484806,3.950401,3.997882,3.999980,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 10:00,735308.416667,0.416667,1,1,1,-0.012247,0.301278,1.070016,2.394893,3.402904,3.936436,3.996957,3.999969,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 11:00,735308.458333,0.458333,1,1,1,-0.003479,0.333385,1.047378,2.300590,3.323163,3.920913,3.995797,3.999953,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 12:00,735308.500000,0.500000,1,1,1,10.342175,5.964084,3.582412,2.579236,3.282263,3.904937,3.994394,3.999931,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 13:00,735308.541667,0.541667,1,1,1,17.847579,11.958004,7.216532,3.303787,3.318834,3.890619,3.992779,3.999904,4.000000,4.000000,4.000000,4.000000,4.000000 
15/03/2013 14:00,735308.583333,0.583333,1,1,1,22.380237,16.612274,10.676216,4.354268,3.453971,3.880540,3.991022,3.999870,3.999999,4.000000,4.000000,4.000000,4.000000 
15/03/2013 15:00,735308.625000,0.625000,1,1,1,24.446240,19.531878,13.357751,5.552928,3.687946,3.877183,3.989237,3.999829,3.999999,4.000000,4.000000,4.000000,4.000000 
15/03/2013 16:00,735308.666667,0.666667,1,1,1,22.905435,19.910141,14.651057,6.676642,3.998664,3.882324,3.987565,3.999781,3.999999,4.000000,4.000000,4.000000,4.000000 
15/03/2013 17:00,735308.708333,0.708333,1,1,1,20.529447,18.927630,14.850415,7.593739,4.354115,3.896805,3.986164,3.999729,3.999998,4.000000,4.000000,4.000000,4.000000 
15/03/2013 18:00,735308.750000,0.750000,1,1,1,14.276446,15.322051,13.449350,8.127901,4.709321,3.920217,3.985180,3.999672,3.999998,4.000000,4.000000,4.000000,4.000000 
15/03/2013 19:00,735308.791667,0.791667,1,1,1,8.271485,10.878474,11.062741,8.227481,5.020820,3.951002,3.984736,3.999615,3.999997,4.000000,4.000000,4.000000,4.000000 
15/03/2013 20:00,735308.833333,0.833333,1,1,1,4.530150,7.284916,8.655891,7.986999,5.261238,3.986930,3.984913,3.999558,3.999997,4.000000,4.000000,4.000000,4.000000 
15/03/2013 21:00,735308.875000,0.875000,1,1,1,1.833516,4.493952,6.543278,7.521644,5.418960,4.025557,3.985746,3.999505,3.999996,4.000000,4.000000,4.000000,4.000000 
15/03/2013 22:00,735308.916667,0.916667,1,1,1,-0.004834,2.416893,4.809961,6.931016,5.494157,4.064549,3.987234,3.999458,3.999995,4.000000,4.000000,4.000000,4.000000 
15/03/2013 23:00,735308.958333,0.958333,1,1,1,-0.006039,1.552514,3.730822,6.331355,5.498699,4.101994,3.989338,3.999420,3.999994,4.000000,4.000000,4.000000,4.000000 
16/03/2013 00:00,735309.000000,1.000000,1,1,1,-0.007121,1.123547,3.071690,5.778794,5.448269,4.136486,3.991997,3.999392,3.999993,4.000000,4.000000,4.000000,4.000000 
16/03/2013 01:00,735309.041667,1.041667,1,1,1,-0.008430,0.876135,2.641446,5.290534,5.357827,4.167080,3.995131,3.999377,3.999992,4.000000,4.000000,4.000000,4.000000 
16/03/2013 02:00,735309.083333,1.083333,1,1,1,-0.010172,0.715849,2.335781,4.865964,5.239915,4.193212,3.998654,3.999376,3.999991,4.000000,4.000000,4.000000,4.000000 
16/03/2013 03:00,735309.125000,1.125000,1,1,1,-0.013561,0.604413,2.099943,4.497648,5.104346,4.214605,4.002474,3.999390,3.999990,4.000000,4.000000,4.000000,4.000000 
16/03/2013 04:00,735309.166667,1.166667,1,1,1,-0.019555,0.519034,1.908090,4.177018,4.958521,4.231193,4.006499,3.999420,3.999989,4.000000,4.000000,4.000000,4.000000 
16/03/2013 05:00,735309.208333,1.208333,1,1,1,-0.032063,0.445161,1.745160,3.896033,4.807862,4.243057,4.010642,3.999466,3.999989,4.000000,4.000000,4.000000,4.000000 
16/03/2013 06:00,735309.250000,1.250000,1,1,1,-0.070180,0.364637,1.596509,3.646931,4.656151,4.250375,4.014817,3.999528,3.999988,4.000000,4.000000,4.000000,4.000000 
16/03/2013 07:00,735309.291667,1.291667,1,1,1,-0.420962,0.081409,1.365624,3.410264,4.504588,4.253349,4.018945,3.999606,3.999987,4.000000,4.000000,4.000000,4.000000 
16/03/2013 08:00,735309.333333,1.333333,1,1,1,-1.070716,-0.007211,1.191554,3.191240,4.354735,4.252213,4.022955,3.999699,3.999987,4.000000,4.000000,4.000000,4.000000 
16/03/2013 09:00,735309.375000,1.375000,1,1,1,-0.099464,-0.006701,1.092727,2.996736,4.208625,4.247243,4.026777,3.999807,3.999987,4.000000,4.000000,4.000000,4.000000 
16/03/2013 10:00,735309.416667,1.416667,1,1,1,-0.020752,-0.006177,1.023479,2.825461,4.067852,4.238746,4.030352,3.999929,3.999987,4.000000,4.000000,4.000000,4.000000 
16/03/2013 11:00,735309.458333,1.458333,1,1,1,-0.006308,0.177597,1.050610,2.686199,3.934682,4.227078,4.033628,4.000062,3.999987,4.000000,4.000000,4.000000,4.000000 
16/03/2013 12:00,735309.500000,1.500000,1,1,1,5.850626,3.602737,2.616519,2.793551,3.833243,4.213228,4.036570,4.000207,3.999987,4.000000,4.000000,4.000000,4.000000 
16/03/2013 13:00,735309.541667,1.541667,1,1,1,16.316367,10.377461,6.327578,3.401521,3.810200,4.199405,4.039188,4.000361,3.999988,4.000000,4.000000,4.000000,4.000000 
16/03/2013 14:00,735309.583333,1.583333,1,1,1,22.168809,15.950114,10.145829,4.423568,3.895979,4.188546,4.041541,4.000524,3.999989,4.000000,4.000000,4.000000,4.000000 
16/03/2013 15:00,735309.625000,1.625000,1,1,1,24.373047,19.256675,13.119155,5.643061,4.093847,4.183550,4.043744,4.000694,3.999990,4.000000,4.000000,4.000000,4.000000 
