Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,36.562819 ,80.558334 ,153.427308 ,274.118870 ,474.018115 ,805.107612 ,1353.485145 ,2261.752912 ,3766.100351 ,6257.723746 ,10384.554413 ,17219.749244  
15/03/2013 00:00,735308.000000,0.000000,0,1,1,0.111627,0.226416,0.274071,0.526319,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 01:00,735308.041667,0.041667,1,1,1,0.199066,0.458487,0.179386,0.504811,0.383891,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 02:00,735308.083333,0.083333,1,1,1,0.339631,0.407833,0.164108,0.495043,0.350855,0.490323,0.504783,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 03:00,735308.125000,0.125000,1,1,1,0.340012,0.409077,0.157368,0.489510,0.335902,0.484005,0.448449,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 04:00,735308.166667,0.166667,1,1,1,0.321488,0.410142,0.152933,0.485342,0.325579,0.477932,0.390043,0.530000,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 05:00,735308.208333,0.208333,1,1,1,0.277433,0.418280,0.150009,0.482321,0.317782,0.473178,0.352787,0.516168,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 06:00,735308.250000,0.250000,1,1,1,0.225650,0.426672,0.147359,0.479378,0.312197,0.469656,0.329894,0.492732,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 07:00,735308.291667,0.291667,1,1,1,0.174352,0.433007,0.145189,0.476821,0.307686,0.466762,0.312691,0.465502,0.530000,0.530000,0.530000,0.530000,0.530000 
15/03/2013 08:00,735308.333333,0.333333,1,1,1,0.136886,0.437707,0.143355,0.474547,0.303903,0.464316,0.299500,0.446437,0.523260,0.530000,0.530000,0.530000,0.530000 
15/03/2013 09:00,735308.375000,0.375000,1,1,1,0.171204,0.441203,0.141754,0.472473,0.300624,0.462225,0.289161,0.435469,0.510600,0.530000,0.530000,0.530000,0.530000 
15/03/2013 10:00,735308.416667,0.416667,1,1,1,0.291978,0.438377,0.140270,0.470478,0.297616,0.460401,0.280742,0.427474,0.495475,0.530000,0.530000,0.530000,0.530000 
15/03/2013 11:00,735308.458333,0.458333,1,1,1,0.431754,0.460421,0.139127,0.468864,0.295236,0.458778,0.273677,0.421048,0.479036,0.530000,0.530000,0.530000,0.530000 
15/03/2013 12:00,735308.500000,0.500000,1,1,1,0.441250,0.466070,0.139108,0.467173,0.292874,0.457318,0.267625,0.415727,0.467768,0.525955,0.530000,0.530000,0.530000 
15/03/2013 13:00,735308.541667,0.541667,1,1,1,0.439441,0.465013,0.140000,0.465572,0.290695,0.455984,0.262350,0.411219,0.459385,0.519534,0.530000,0.530000,0.530000 
15/03/2013 14:00,735308.583333,0.583333,1,1,1,0.439083,0.464804,0.139764,0.464042,0.288673,0.454755,0.257688,0.407322,0.452481,0.511895,0.530000,0.530000,0.530000 
15/03/2013 15:00,735308.625000,0.625000,1,1,1,0.438699,0.464578,0.139493,0.462577,0.286789,0.453616,0.253526,0.403900,0.446510,0.503408,0.530000,0.530000,0.530000 
15/03/2013 16:00,735308.666667,0.666667,1,1,1,0.438321,0.464355,0.139226,0.461180,0.285037,0.452553,0.249775,0.400856,0.441196,0.494291,0.530000,0.530000,0.530000 
