DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
01/02/2012 01:00,0.041667,734900.041667,31.041667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.063365e-08,0.000000e+00
01/02/2012 02:00,0.083333,734900.083333,31.083333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.039727e-07,0.000000e+00
01/02/2012 03:00,0.125000,734900.125000,31.125000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.099073e-06,0.000000e+00
01/02/2012 04:00,0.166667,734900.166667,31.166667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.565420e-06,0.000000e+00
01/02/2012 05:00,0.208333,734900.208333,31.208333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.363265e-06,0.000000e+00
01/02/2012 06:00,0.250000,734900.250000,31.250000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.867742e-06,0.000000e+00
01/02/2012 07:00,0.291667,734900.291667,31.291667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.311325e-05,0.000000e+00
01/02/2012 08:00,0.333333,734900.333333,31.333333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.598261e-05,0.000000e+00
01/02/2012 09:00,0.375000,734900.375000,31.375000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.799562e-05,0.000000e+00
01/02/2012 10:00,0.416667,734900.416667,31.416667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.941300e-05,0.000000e+00
01/02/2012 11:00,0.458333,734900.458333,31.458333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.057487e-05,0.000000e+00
01/02/2012 12:00,0.500000,734900.500000,31.500000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.174186e-05,0.000000e+00
01/02/2012 13:00,0.541667,734900.541667,31.541667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.304651e-05,0.000000e+00
01/02/2012 14:00,0.583333,734900.583333,31.583333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.457651e-05,0.000000e+00
01/02/2012 15:00,0.625000,734900.625000,31.625000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.635469e-05,0.000000e+00
01/02/2012 16:00,0.666667,734900.666667,31.666667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.836289e-05,0.000000e+00
01/02/2012 17:00,0.708333,734900.708333,31.708333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.054059e-05,0.000000e+00
01/02/2012 18:00,0.750000,734900.750000,31.750000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.280487e-05,0.000000e+00
01/02/2012 19:00,0.791667,734900.791667,31.791667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.506618e-05,0.000000e+00
01/02/2012 20:00,0.833333,734900.833333,31.833333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.724801e-05,0.000000e+00
01/02/2012 21:00,0.875000,734900.875000,31.875000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.929842e-05,0.000000e+00
01/02/2012 22:00,0.916667,734900.916667,31.916667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.119475e-05,0.000000e+00
01/02/2012 23:00,0.958333,734900.958333,31.958333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.294117e-05,0.000000e+00
02/02/2012 00:00,1.000000,734901.000000,32.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.456189e-05,0.000000e+00
02/02/2012 01:00,1.041667,734901.041667,32.041667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.609243e-05,0.000000e+00
02/02/2012 02:00,1.083333,734901.083333,32.083333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.757129e-05,0.000000e+00
02/02/2012 03:00,1.125000,734901.125000,32.125000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.903294e-05,0.000000e+00
02/02/2012 04:00,1.166667,734901.166667,32.166667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.050313e-05,0.000000e+00
02/02/2012 05:00,1.208333,734901.208333,32.208333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.199570e-05,0.000000e+00
02/02/2012 06:00,1.250000,734901.250000,32.250000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.351237e-05,0.000000e+00
02/02/2012 07:00,1.291667,734901.291667,32.291667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.504444e-05,0.000000e+00
02/02/2012 08:00,1.333333,734901.333333,32.333333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.657517e-05,0.000000e+00
02/02/2012 09:00,1.375000,734901.375000,32.375000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.808502e-05,0.000000e+00
02/02/2012 10:00,1.416667,734901.416667,32.416667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.955510e-05,0.000000e+00
02/02/2012 11:00,1.458333,734901.458333,32.458333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.097122e-05,0.000000e+00
02/02/2012 12:00,1.500000,734901.500000,32.500000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.232679e-05,0.000000e+00
02/02/2012 13:00,1.541667,734901.541667,32.541667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.362447e-05,0.000000e+00
02/02/2012 14:00,1.583333,734901.583333,32.583333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.487774e-05,0.000000e+00
02/02/2012 15:00,1.625000,734901.625000,32.625000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.611241e-05,0.000000e+00
02/02/2012 16:00,1.666667,734901.666667,32.666667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.736988e-05,0.000000e+00
02/02/2012 17:00,1.708333,734901.708333,32.708333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.871524e-05,0.000000e+00
02/02/2012 18:00,1.750000,734901.750000,32.750000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.027227e-05,0.000000e+00
