Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,50.000000 ,200.000000 ,550.000000 ,1050.000000 ,1550.000000  
01/02/2012 00:00,734900.000000,0.000000,0,0,1,0.006242,0.006242,0.006242,0.006242,0.006242 
01/02/2012 01:00,734900.041667,0.041667,1,1,1,0.110172,0.006257,0.006242,0.006242,0.006243 
01/02/2012 02:00,734900.083333,0.083333,1,1,1,0.200024,0.013414,0.006243,0.006242,0.006245 
01/02/2012 03:00,734900.125000,0.125000,1,1,1,0.233258,0.049000,0.006245,0.006242,0.006246 
01/02/2012 04:00,734900.166667,0.166667,1,1,1,0.242942,0.096249,0.006359,0.006242,0.006248 
01/02/2012 05:00,734900.208333,0.208333,1,1,1,0.252851,0.140642,0.007574,0.006242,0.006249 
01/02/2012 06:00,734900.250000,0.250000,1,1,1,0.258447,0.179953,0.011710,0.006243,0.006251 
01/02/2012 07:00,734900.291667,0.291667,1,1,1,0.262539,0.208994,0.020280,0.006244,0.006252 
01/02/2012 08:00,734900.333333,0.333333,1,1,1,0.264851,0.227997,0.033246,0.006246,0.006254 
01/02/2012 09:00,734900.375000,0.375000,1,1,1,0.266275,0.239395,0.049438,0.006267,0.006255 
01/02/2012 10:00,734900.416667,0.416667,1,1,1,0.267159,0.246449,0.067424,0.006358,0.006257 
01/02/2012 11:00,734900.458333,0.458333,1,1,1,0.267788,0.251201,0.086209,0.006636,0.006258 
01/02/2012 12:00,734900.500000,0.500000,1,1,1,0.268261,0.254704,0.105160,0.007294,0.006260 
01/02/2012 13:00,734900.541667,0.541667,1,1,1,0.268639,0.257444,0.123823,0.008579,0.006262 
01/02/2012 14:00,734900.583333,0.583333,1,1,1,0.268948,0.259668,0.141834,0.010754,0.006264 
01/02/2012 15:00,734900.625000,0.625000,1,1,1,0.269207,0.261514,0.158896,0.014061,0.006266 
01/02/2012 16:00,734900.666667,0.666667,1,1,1,0.269425,0.263067,0.174765,0.018710,0.006269 
01/02/2012 17:00,734900.708333,0.708333,1,1,1,0.269611,0.264380,0.189253,0.024870,0.006271 
01/02/2012 18:00,734900.750000,0.750000,1,1,1,0.269768,0.265493,0.202231,0.032648,0.006279 
01/02/2012 19:00,734900.791667,0.791667,1,1,1,0.269901,0.266433,0.213639,0.042086,0.006299 
01/02/2012 20:00,734900.833333,0.833333,1,1,1,0.270012,0.267224,0.223488,0.053146,0.006350 
01/02/2012 21:00,734900.875000,0.875000,1,1,1,0.270105,0.267883,0.231852,0.065705,0.006468 
01/02/2012 22:00,734900.916667,0.916667,1,1,1,0.270182,0.268429,0.238860,0.079563,0.006720 
01/02/2012 23:00,734900.958333,0.958333,1,1,1,0.270245,0.268879,0.244671,0.094447,0.007212 
02/02/2012 00:00,734901.000000,1.000000,1,1,1,0.270297,0.269248,0.249455,0.110030,0.008097 
02/02/2012 01:00,734901.041667,1.041667,1,1,1,0.270340,0.269549,0.253380,0.125954,0.009559 
02/02/2012 02:00,734901.083333,1.083333,1,1,1,0.270375,0.269796,0.256598,0.141856,0.011806 
02/02/2012 03:00,734901.125000,1.125000,1,1,1,0.270404,0.269998,0.259242,0.157394,0.015047 
02/02/2012 04:00,734901.166667,1.166667,1,1,1,0.270427,0.270165,0.261420,0.172255,0.019482 
02/02/2012 05:00,734901.208333,1.208333,1,1,1,0.270447,0.270302,0.263222,0.186169,0.025288 
02/02/2012 06:00,734901.250000,1.250000,1,1,1,0.270463,0.270416,0.264719,0.198925,0.032602 
02/02/2012 07:00,734901.291667,1.291667,1,1,1,0.270477,0.270511,0.265966,0.210380,0.041507 
02/02/2012 08:00,734901.333333,1.333333,1,1,1,0.270488,0.270590,0.267006,0.220464,0.052026 
02/02/2012 09:00,734901.375000,1.375000,1,1,1,0.270497,0.270655,0.267874,0.229186,0.064115 
