Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/02/2012 10:00,17.620338,142.296322,0.302708,61.111111,287.998566,0.675370,0.213314
01/02/2012 11:00,22.865815,156.512543,0.388574,105.555556,387.800635,0.708460,0.273580
01/02/2012 12:00,25.676376,171.929769,0.433288,150.000000,439.962543,0.720818,0.342635
01/02/2012 13:00,25.709329,187.835410,0.433806,180.555556,441.574833,0.722604,0.410924
01/02/2012 14:00,22.960588,203.275853,0.390098,136.111111,389.674229,0.709129,0.351075
01/02/2012 15:00,17.766944,217.529000,0.305146,94.444444,291.737810,0.678715,0.325438
02/02/2012 10:00,17.860077,142.129742,0.306693,22.222222,290.853701,0.673404,0.100000
02/02/2012 11:00,23.128506,156.385149,0.392795,27.777778,390.103962,0.705223,0.100000
02/02/2012 12:00,25.956656,171.856817,0.437691,38.888889,442.497055,0.717893,0.100000
02/02/2012 13:00,25.997257,187.825612,0.438328,50.000000,443.712584,0.718828,0.113241
02/02/2012 14:00,23.245185,203.325625,0.394667,125.000000,392.703517,0.706582,0.319913
02/02/2012 15:00,18.040307,217.625745,0.309686,144.444444,295.247440,0.677015,0.491782
03/02/2012 10:00,18.105454,141.963173,0.310767,41.666667,300.482536,0.686791,0.139383
03/02/2012 11:00,23.396720,156.258759,0.397095,227.777778,401.392361,0.717993,0.570306
03/02/2012 12:00,26.242160,171.786214,0.442166,383.333333,454.611182,0.730309,0.847324
03/02/2012 13:00,26.289856,187.819575,0.442912,436.111111,455.546083,0.730587,0.962003
03/02/2012 14:00,23.533703,203.380231,0.399288,436.111111,404.178026,0.719033,1.000000
03/02/2012 15:00,18.316804,217.727873,0.314271,352.777778,304.681856,0.688670,1.000000
04/02/2012 10:00,18.356381,141.796675,0.314927,83.333333,306.925818,0.692473,0.272898
04/02/2012 11:00,23.670360,156.133425,0.401474,202.777778,408.108374,0.722275,0.499330
04/02/2012 12:00,26.532782,171.718008,0.446710,261.111111,462.803202,0.736141,0.566918
04/02/2012 13:00,26.587011,187.817347,0.447556,283.333333,465.811126,0.739534,0.611190
04/02/2012 14:00,23.826020,203.439705,0.403961,233.333333,415.409789,0.730700,0.564463
04/02/2012 15:00,18.596310,217.835396,0.318898,161.111111,315.272714,0.702493,0.513628
05/02/2012 10:00,18.612764,141.630304,0.319170,122.222222,312.578605,0.696077,0.392989
05/02/2012 11:00,23.949327,156.009196,0.405929,227.777778,415.711039,0.727894,0.550604
05/02/2012 12:00,26.828414,171.652250,0.451320,463.888889,470.476559,0.740945,0.990708
05/02/2012 13:00,26.888605,187.818974,0.452257,422.222222,472.368670,0.742393,0.898106
05/02/2012 14:00,24.122012,203.504082,0.408681,452.777778,420.494270,0.731341,1.000000
05/02/2012 15:00,18.878703,217.948324,0.323566,375.000000,319.079746,0.700950,1.000000
06/02/2012 10:00,18.874512,141.464115,0.323497,33.333333,317.976445,0.698862,0.105353
06/02/2012 11:00,24.233520,155.886121,0.410457,305.555556,420.477768,0.728364,0.730205
06/02/2012 12:00,27.128947,171.588986,0.455995,461.111111,474.975463,0.740611,0.975404
06/02/2012 13:00,27.194522,187.824501,0.457013,525.000000,477.335075,0.742642,1.000000
06/02/2012 14:00,24.421557,203.573392,0.413447,366.666667,425.136628,0.731138,0.866632
06/02/2012 15:00,19.163857,218.066664,0.328271,386.111111,323.961280,0.701710,1.000000
07/02/2012 10:00,19.141528,141.298159,0.327903,91.666667,318.915072,0.691745,0.288851
07/02/2012 11:00,24.522836,155.764243,0.415056,100.000000,421.150682,0.721694,0.238584
07/02/2012 12:00,27.434273,171.528259,0.460731,125.000000,475.971848,0.734789,0.263853
07/02/2012 13:00,27.504644,187.833972,0.461821,127.777778,477.320213,0.735142,0.268953
07/02/2012 14:00,24.724532,203.647666,0.418256,111.111111,426.325931,0.725005,0.261871
07/02/2012 15:00,19.451649,218.190420,0.333011,77.777778,325.610327,0.695483,0.240043
07/02/2012 16:00,12.233769,231.227479,0.211901,52.777778,187.664453,0.629946,0.282381
08/02/2012 09:00,12.090692,128.144849,0.209460,44.444444,183.566911,0.623529,0.243061
08/02/2012 10:00,19.413716,141.132486,0.332387,75.000000,322.352741,0.690012,0.233799
08/02/2012 11:00,24.817171,155.643606,0.419724,311.111111,423.591316,0.718057,0.737949
08/02/2012 12:00,27.744280,171.470114,0.465526,397.222222,478.366601,0.731137,0.834234
08/02/2012 13:00,27.818852,187.847427,0.466678,466.666667,479.761722,0.731471,0.977225
08/02/2012 14:00,25.030811,203.726931,0.423106,458.333333,428.423478,0.720476,1.000000
08/02/2012 15:00,19.741955,218.319596,0.337785,333.333333,329.431720,0.693948,1.000000
08/02/2012 16:00,12.505584,231.390358,0.216535,216.666667,191.889909,0.630569,1.000000
09/02/2012 09:00,12.345100,127.949860,0.213799,19.444444,188.694273,0.628162,0.103451
09/02/2012 10:00,19.690976,140.967142,0.336947,33.333333,328.071726,0.693000,0.102093
09/02/2012 11:00,25.116420,155.524250,0.424459,316.666667,429.395227,0.720036,0.740937
09/02/2012 12:00,28.058856,171.414591,0.470378,463.888889,484.959214,0.733833,0.960957
09/02/2012 13:00,28.137028,187.864905,0.471582,513.888889,485.782257,0.733214,1.000000
09/02/2012 14:00,25.340271,203.811211,0.427993,402.777778,434.661183,0.722881,0.930990
09/02/2012 15:00,20.034652,218.454189,0.342588,105.555556,334.442762,0.694878,0.317133
09/02/2012 16:00,12.779147,231.558638,0.221194,58.333333,196.596132,0.632657,0.297922
10/02/2012 09:00,12.604568,127.754712,0.218221,27.777778,199.560831,0.651116,0.139754
10/02/2012 10:00,19.973207,140.802172,0.341581,100.000000,342.344724,0.713604,0.293496
10/02/2012 11:00,25.420476,155.406213,0.429258,244.444444,447.458866,0.742212,0.548828
10/02/2012 12:00,28.377888,171.361727,0.475285,375.000000,501.560990,0.751398,0.751064
10/02/2012 13:00,28.459051,187.886444,0.476531,263.888889,502.779032,0.751265,0.527244
10/02/2012 14:00,25.652786,203.900530,0.432916,211.111111,450.015190,0.740179,0.471290
10/02/2012 15:00,20.329615,218.594199,0.347420,216.666667,347.961105,0.713175,0.625634
10/02/2012 16:00,13.054342,231.732288,0.225875,138.888889,206.610958,0.651347,0.674997
11/02/2012 09:00,12.868999,127.559459,0.222723,33.333333,201.223981,0.643516,0.166309
11/02/2012 10:00,20.260305,140.637618,0.346286,130.555556,343.823026,0.707214,0.381506
11/02/2012 11:00,25.729230,155.289530,0.434119,236.111111,449.347745,0.737279,0.527866
11/02/2012 12:00,28.701262,171.311559,0.480243,211.111111,504.222197,0.747869,0.420573
11/02/2012 13:00,28.784801,187.912079,0.481521,169.444444,505.998402,0.748523,0.336379
11/02/2012 14:00,25.968233,203.994909,0.437873,188.888889,453.338864,0.737486,0.418570
11/02/2012 15:00,20.626723,218.739618,0.352278,152.777778,350.577586,0.708898,0.437835
11/02/2012 16:00,13.331054,231.911276,0.230577,105.555556,208.941964,0.645508,0.507249
12/02/2012 09:00,13.138294,127.364152,0.227302,44.444444,204.573076,0.641293,0.218108
12/02/2012 10:00,20.552167,140.473517,0.351060,94.444444,345.487324,0.701244,0.274638
12/02/2012 11:00,26.042573,155.174233,0.439039,138.888889,449.039615,0.728798,0.310710
12/02/2012 12:00,29.028864,171.264120,0.485250,205.555556,505.211615,0.741891,0.408688
12/02/2012 13:00,29.114156,187.941842,0.486551,172.222222,508.380157,0.744560,0.340278
12/02/2012 14:00,26.286486,204.094365,0.442860,316.666667,455.730767,0.733312,0.698007
12/02/2012 15:00,20.925853,218.890440,0.357159,277.777778,356.065623,0.710431,0.783752
12/02/2012 16:00,13.609171,232.095564,0.235298,147.222222,214.952152,0.651006,0.687692
13/02/2012 09:00,13.412351,127.168839,0.231958,30.555556,209.644573,0.644254,0.146321
13/02/2012 10:00,20.848685,140.309906,0.355901,88.888889,351.628487,0.704278,0.253955
13/02/2012 11:00,26.360394,155.060352,0.444016,391.666667,454.264050,0.729300,0.866083
13/02/2012 12:00,29.360576,171.219442,0.490304,347.222222,510.219334,0.741814,0.683547
13/02/2012 13:00,29.446997,187.975765,0.491618,319.444444,511.880431,0.742252,0.626820
13/02/2012 14:00,26.607422,204.198915,0.447875,316.666667,460.428978,0.732865,0.690853
13/02/2012 15:00,21.226883,219.046652,0.362062,422.222222,359.572249,0.707993,1.000000
