Date,Iprec,WindSp,WindDir,RelHum,AirT,SWglobal
01/02/2012 00:00,0,0.5,180.5,91.4,-3.9,0
01/02/2012 01:00,0,0.6,177.3,91.4,-4.3,0
01/02/2012 02:00,0,0.6,171.1,91.55,-4.9,0
01/02/2012 03:00,0,0.6,165.7,90.8,-5.1,0
01/02/2012 04:00,0,0.9,166,90.4,-5.4,0
01/02/2012 05:00,0,0.5,166.3,91,-5.5,0
01/02/2012 06:00,0,0.5,164.7,91.15,-5.4,0
01/02/2012 07:00,0,0.4,164.7,90.2,-5.5,0
01/02/2012 08:00,0,0.8,164.3,89.75,-5.6,0
01/02/2012 09:00,0,0.2,165.9,88.5,-5.1,25
01/02/2012 10:00,0,0.1,166.5,83.7,-3.9,66.6666666666667
01/02/2012 11:00,0,0.4,194.2,79.95,-3,111.111111111111
01/02/2012 12:00,0.2,0.3,224.4,72.35,-1.7,150
01/02/2012 13:00,0.2,0.8,171.5,65.1,-1.1,172.222222222222
01/02/2012 14:00,0,0.3,353.1,54.35,0,111.111111111111
01/02/2012 15:00,0,0.5,232.2,54.35,0.4,86.1111111111111
01/02/2012 16:00,0,0.4,173.7,58.95,0.2,50
01/02/2012 17:00,0,0.9,155.5,66.45,-0.2,19.4444444444444
01/02/2012 18:00,0,0.6,162,74.2,-0.8,0
01/02/2012 19:00,0,0.4,168.8,77.05,-1,0
01/02/2012 20:00,0,0.5,168.6,78.65,-1.1,0
01/02/2012 21:00,0,0.3,166.4,82.85,-1.2,0
01/02/2012 22:00,0,0.8,162.3,90.3,-2,0
01/02/2012 23:00,0,0.8,162.2,93.95,-2.1,0
02/02/2012 00:00,0,0.7,163.2,94.45,-2.1,0
02/02/2012 01:00,0,0.1,172.3,94.5,-2.1,0
02/02/2012 02:00,0,0.1,164.6,94.4,-2.2,0
02/02/2012 03:00,0,0.1,168.3,94.35,-2.5,0
02/02/2012 04:00,0,0.1,164.2,94.4,-2.6,0
02/02/2012 05:00,0,0.3,166.1,94.35,-2.7,0
02/02/2012 06:00,0,0.2,167.3,94.1,-2.9,0
02/02/2012 07:00,0,0.1,164.6,93.6,-3.2,0
02/02/2012 08:00,0,0.1,163.9,93.45,-3.4,0
02/02/2012 09:00,0,0.1,155.8,93.05,-3.1,5.55555555555556
02/02/2012 10:00,0,0.6,148.5,90.45,-2.5,33.3333333333333
02/02/2012 11:00,0,0.6,150.8,87.45,-1.9,47.2222222222222
02/02/2012 12:00,0,0.7,152.3,83.7,-1.1,75
02/02/2012 13:00,0,0.4,171.5,80.1,-0.6,88.8888888888889
02/02/2012 14:00,2.8,0.3,190.7,75.3,0.3,183.333333333333
02/02/2012 15:00,1.6,0.3,266.5,69.55,0.8,213.888888888889
02/02/2012 16:00,0.4,0.5,302.3,72.35,0.1,127.777777777778
02/02/2012 17:00,0.2,0.4,274.3,77.4,-1,72.2222222222222
02/02/2012 18:00,0,0.7,186.5,80.45,-2.1,0
02/02/2012 19:00,0,0.7,165.2,86.05,-3.9,0
02/02/2012 20:00,0,0.5,163.1,88.15,-4.8,0
02/02/2012 21:00,0,0.5,162.9,87.4,-4.9,0
02/02/2012 22:00,0,0.9,162.9,84.9,-4.5,0
02/02/2012 23:00,0,0.4,162.8,85.2,-4.6,0
03/02/2012 00:00,0,0.3,162.6,87.45,-5.2,0
03/02/2012 01:00,0,0.2,162.5,86.85,-5.6,0
03/02/2012 02:00,0,0.4,162.5,83.9,-5.9,0
03/02/2012 03:00,0,0.2,162.3,82.3,-6.7,0
03/02/2012 04:00,0,0.6,161.7,86.1,-8.3,0
03/02/2012 05:00,0,0.9,161.4,87,-9.2,0
03/02/2012 06:00,0,0.8,161.2,86.3,-9.7,0
03/02/2012 07:00,0,1,161.2,85.4,-10.2,0
03/02/2012 08:00,0,0.8,161.1,85.9,-10.5,0
03/02/2012 09:00,0,0.7,161.3,85.95,-10.5,22.2222222222222
03/02/2012 10:00,0,0.6,159.2,84.5,-10,72.2222222222222
