Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
02/03/2012 00:00,734930.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.142116,4.684802,5.054160,0.111239,0.529704,3.192818,-3.706949,28.372571,-4.834102,15.095378,-1.059835,68.816361,-55.293134,122.925240,283.058705,0.000000,3600.000000
03/03/2012 00:00,734931.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.729615,5.852857,5.252538,0.167383,0.526578,4.795612,-1.895860,29.007628,-10.050985,16.005039,-1.276806,70.385096,-55.602929,125.574265,278.510425,0.000000,3600.000000
04/03/2012 00:00,734932.000000,3.000000,0.000000,0.000000,0.572410,0.000247,0.679846,0.016252,0.657694,8.492117,6.415829,5.828142,0.227251,0.527070,6.500369,-1.312205,29.094120,-10.111356,14.974000,-1.008549,69.870904,-55.760325,125.017499,280.917572,0.000000,3600.000000
05/03/2012 00:00,734933.000000,4.000000,0.000000,0.000000,10.895199,0.556688,10.943030,0.890661,12.968173,5.862951,5.095615,5.080840,-0.002711,0.002862,-0.284469,-0.097371,6.695499,-2.748175,0.881129,-0.556914,19.213914,-16.909368,33.336559,320.776124,0.000000,3600.000000
06/03/2012 00:00,734934.000000,5.000000,0.000000,0.000000,6.126682,1.962079,6.266326,4.001063,7.272222,3.800451,4.297355,4.331857,0.039200,0.040773,1.212241,1.411354,9.168033,-3.874415,5.118699,1.424326,25.313711,-18.216416,44.274442,314.554879,0.000000,3600.000000
07/03/2012 00:00,734935.000000,6.000000,0.000000,0.000000,0.343937,0.846012,0.284724,0.411374,2.595144,2.437950,1.655056,2.046145,0.057671,0.107097,1.100552,-1.037023,18.456890,-13.833720,8.969958,2.007540,42.901828,-27.865607,88.314584,284.298068,0.000001,3600.000000
08/03/2012 00:00,734936.000000,7.000000,0.000000,0.000000,0.000000,0.008477,0.000000,0.000000,0.993482,3.312950,2.650420,2.076507,0.226854,0.459651,6.405836,-0.058845,32.939255,-21.174987,17.136014,3.249057,71.677293,-51.048384,139.061577,256.635701,0.000000,3600.000000
09/03/2012 00:00,734937.000000,8.000000,0.000000,0.000000,0.000000,0.009360,0.000000,0.000000,0.701410,4.575449,3.028548,2.927139,0.447177,0.416675,15.230062,-7.968061,24.084625,-12.067185,15.734900,-3.294698,59.488125,-46.363598,107.762052,274.155723,0.000000,3600.000000
10/03/2012 00:00,734938.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.312839,5.454616,4.395824,3.542957,0.422213,0.743404,13.177406,-0.114924,34.815479,-14.556078,22.269292,0.809103,80.921640,-58.632057,145.755650,262.881078,0.000000,3600.000000
11/03/2012 00:00,734939.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099338,2.771283,3.726464,1.841550,0.371708,0.694635,11.197534,3.456104,34.994245,-18.846916,19.757066,3.559491,81.472307,-58.895797,146.874619,249.984387,0.000000,3485.156250
12/03/2012 00:00,734940.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126645,6.458784,4.926944,4.323169,0.469637,0.753899,13.935797,-3.934871,34.613349,-12.013879,21.536080,-3.339433,80.572563,-62.519821,145.259610,265.110287,0.000000,3464.355469
13/03/2012 00:00,734941.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111276,10.800451,6.737051,7.030555,0.891015,0.814514,25.862884,-16.511599,32.357777,-6.874030,23.267017,-9.607406,77.263486,-63.730040,138.837811,281.671805,0.000000,3600.000000
14/03/2012 00:00,734942.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008620,8.646284,7.041103,5.880964,0.553734,0.829815,15.868744,-2.870608,36.560180,-13.987915,23.341034,0.276222,83.723446,-60.559509,151.500004,272.418239,0.000000,3600.000000
15/03/2012 00:00,734943.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001886,8.387950,7.442206,6.141380,0.403992,0.696587,11.567825,-0.108144,38.278818,-15.031165,20.929435,-0.051328,87.426156,-65.683343,158.101321,268.604086,0.000000,3600.000000
16/03/2012 00:00,734944.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000236,8.904618,7.824725,6.313209,0.485659,0.760679,13.886660,-1.036130,38.933147,-15.875915,21.811558,2.125419,87.961392,-63.159556,159.583081,271.026507,0.000000,3600.000000
17/03/2012 00:00,734945.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000180,8.337952,7.776679,6.414221,0.434789,0.739960,12.435387,0.848560,36.485282,-15.148218,20.753069,0.670924,83.015368,-61.527068,150.549509,273.239235,0.000000,3600.000000
18/03/2012 00:00,734946.000000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000157,8.017118,7.667286,7.118764,0.464930,0.667316,13.320395,-0.709959,28.767406,-9.676301,20.194391,-0.028064,70.376848,-50.358201,126.200207,291.779327,0.000000,3600.000000
19/03/2012 00:00,734947.000000,18.000000,0.000000,0.000000,1.829668,0.002662,2.024183,0.064125,2.100250,5.196285,6.344684,5.926562,0.271770,0.367997,7.835149,2.875407,17.630024,-6.427960,9.895389,4.164614,44.228320,-30.447734,79.235783,307.981380,0.000000,3600.000000
20/03/2012 00:00,734948.000000,19.000000,0.000000,0.000000,2.907579,0.061500,3.216098,0.090361,3.413989,5.892117,6.225161,5.668011,0.104226,0.042810,3.008965,1.559762,11.984097,-5.724465,11.181996,0.107715,31.273066,-19.140809,55.551953,318.519296,0.000000,3600.000000
21/03/2012 00:00,734949.000000,20.000000,0.000000,0.000000,0.000001,0.028607,0.000000,0.000000,0.033517,6.008784,7.168160,5.731526,0.453136,0.704601,13.099100,3.591254,41.616741,-15.537077,27.021232,6.578157,92.856773,-59.197368,168.649963,271.462680,0.000000,3600.000000
22/03/2012 00:00,734950.000000,21.000000,0.000000,0.000000,0.000000,0.000579,0.000000,0.000000,0.000823,7.496283,7.604424,6.109975,0.270690,0.744685,7.762773,0.975257,34.158982,-15.258414,22.930543,1.943447,82.071702,-57.552546,147.182183,275.738346,0.000000,3600.000000
23/03/2012 00:00,734951.000000,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.104617,8.878092,7.852900,0.464213,0.784136,13.245109,1.287690,41.502308,-14.050214,23.780398,1.140973,92.398376,-67.015047,168.119538,276.432728,0.000000,3600.000000
24/03/2012 00:00,734952.000000,23.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.325450,9.038880,7.903673,0.423713,0.758160,12.100831,1.308138,36.917160,-14.184642,22.620751,0.019587,84.742954,-62.151255,153.533697,280.790397,0.000000,3600.000000
25/03/2012 00:00,734953.000000,24.000000,0.000000,0.000000,0.732541,0.000000,0.870033,0.000096,0.841891,7.821285,8.684900,7.799007,0.329834,0.654792,9.435934,1.951643,27.988449,-10.686885,18.493870,2.497027,66.077489,-45.782794,119.409818,299.223247,0.000000,3600.000000
26/03/2012 00:00,734954.000000,25.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000003,8.825451,9.381682,8.113790,0.418764,0.702229,11.949211,2.667554,39.330882,-14.950985,25.458623,2.637730,88.915357,-60.876083,161.702055,282.218195,0.000000,3600.000000
27/03/2012 00:00,734955.000000,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.950451,9.590477,8.141325,0.720954,0.859694,20.534139,-0.818830,45.915777,-16.464404,25.010310,4.224328,99.519719,-69.412774,182.289971,273.408067,0.000000,3600.000000
28/03/2012 00:00,734956.000000,27.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.683785,9.742570,8.454943,0.779159,0.893131,22.207431,-2.203076,44.485898,-15.716194,25.713324,2.091173,97.538598,-69.090355,178.335711,275.695584,0.000000,3600.000000
29/03/2012 00:00,734957.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.229619,11.060182,10.269572,0.724055,0.677310,20.568158,-1.959734,47.333904,-13.224026,19.225458,5.575399,101.875763,-76.681860,186.983678,281.206008,0.000000,3600.000000
30/03/2012 00:00,734958.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.408785,10.811016,9.998751,1.159261,0.823771,33.029155,-9.184110,44.821965,-13.340880,23.866918,0.511718,96.993839,-71.846777,177.902718,282.969372,0.000000,3600.000000
31/03/2012 00:00,734959.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.862952,11.103619,10.343504,1.082536,0.882855,30.823018,-8.688165,45.334211,-12.707869,25.078313,4.522843,99.903943,-69.719601,182.551187,287.779746,0.000000,3600.000000
01/04/2012 00:00,734960.000000,31.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.083785,11.057092,10.352765,1.182217,0.785718,33.657173,-6.201648,48.753740,-13.445088,22.387304,3.098805,104.087438,-78.322424,191.433210,278.505644,0.000000,3600.000000
02/04/2012 00:00,734961.000000,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.821284,10.247485,8.913254,0.908545,0.914584,25.881210,3.877329,48.129893,-16.450810,25.919263,5.377781,102.537920,-70.706645,188.789407,274.817408,0.000000,3600.000000
