Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],lowest_thawed_soil_depth[mm],highest_thawed_soil_depth[mm],lowest_water_table_depth[mm],highest_water_table_depth[mm]
01/03/2012 01:00,734929.041667,0.041667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,5.520944,0.528610,0.000000,10.342992,1.145496,0.511563,0.696926,2.326191,0.249231,0.249231,0.000000,0.000000,0.000000,305.018077,262.086853,226.978572,0.000000,-0.971768,-1.018776,-0.202223,1.000000,2.000000,0.020000,0.133400,2.048040,0.000000,-12.803205,-14.266105,-0.585140,0.000000,0.000000,-1.018776,-0.202223,-0.000291,0.000000,0.000000,0.000000,0.005860,0.005782,0.006054,0.005887,0.143773,2.100068,0.096995,2.897812,0.000000,318.748441,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5000.595795,5000.595795
01/03/2012 02:00,734929.083333,0.083333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,7.927469,0.568527,0.000000,9.043001,0.944645,0.469803,0.511711,1.944499,-0.763885,-0.763885,0.000000,0.000000,0.000000,302.187026,257.512613,232.090290,0.000000,-1.868637,-0.923485,-0.181268,1.000000,2.000000,0.020000,0.133400,-0.545337,0.000000,-13.769119,-12.647882,-0.575900,0.000000,0.000000,-0.923485,-0.181269,-0.000261,0.000000,0.000000,0.000000,0.005782,0.005765,0.005966,0.005808,0.161975,2.389589,0.096995,2.853041,0.000000,317.971959,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5001.191609,5001.191609
01/03/2012 03:00,734929.125000,0.125000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,359.917447,0.579505,0.000000,8.842992,1.022657,0.473465,0.563037,1.951108,-0.309159,-0.309159,0.000000,0.000000,0.000000,304.033766,256.973547,240.650984,0.000000,-1.446951,-0.941242,-0.196550,1.000000,2.000000,0.020000,0.133400,0.151326,0.000000,-12.673775,-12.219290,-0.605810,0.000000,0.000000,-0.941242,-0.196550,-0.000283,0.000000,0.000000,0.000000,0.005804,0.005766,0.006000,0.005831,0.166652,2.297848,0.096995,2.865755,0.000000,318.182985,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5001.787444,5001.787444
01/03/2012 04:00,734929.166667,0.166667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,357.946318,0.626406,0.000000,7.442992,0.782371,0.390967,0.201510,1.412022,-2.021981,-2.021981,0.000000,0.000000,0.000000,300.679340,252.092424,244.942713,0.000000,-2.907880,-0.743736,-0.142163,1.000000,2.000000,0.020000,0.133400,-1.060175,0.000000,-12.749427,-10.837850,-0.851402,0.000000,0.000000,-0.743736,-0.142167,-0.000205,0.000000,0.000000,0.000000,0.005653,0.005732,0.005897,0.005691,0.190412,3.146223,0.096995,2.771615,0.000000,316.671929,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5002.383299,5002.383299
01/03/2012 05:00,734929.208333,0.208333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,4.738801,0.640374,0.000000,6.842992,0.518645,0.324997,0.013528,1.156116,-2.603197,-2.603197,0.000000,0.000000,0.000000,300.560665,249.792569,251.715977,0.000000,-3.351518,-0.640870,-0.107451,1.000000,2.000000,0.020000,0.133400,-0.550248,0.000000,-11.596800,-10.299552,-0.747000,0.000000,0.000000,-0.640870,-0.107455,-0.000155,0.000000,0.000000,0.000000,0.005576,0.005704,0.005785,0.005609,0.201551,3.762635,0.096995,2.729004,0.000000,315.875813,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5002.979173,5002.979173
01/03/2012 06:00,734929.250000,0.250000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,5.130625,0.667816,0.000000,6.242992,0.527701,0.272186,-0.091623,0.967602,-2.842676,-2.842676,0.000000,0.000000,0.000000,300.603075,247.897570,258.464206,0.000000,-3.514169,-0.571373,-0.100120,1.000000,2.000000,0.020000,0.133400,-0.307785,0.000000,-10.956122,-9.587588,-1.060749,0.000000,0.000000,-0.571373,-0.100124,-0.000144,0.000000,0.000000,0.000000,0.005534,0.005682,0.005789,0.005575,0.217338,4.287558,0.096995,2.702312,0.000000,315.421681,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5003.575068,5003.575068
01/03/2012 07:00,734929.291667,0.291667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,5.130625,0.703242,0.000000,5.642992,0.668585,0.227925,-0.164271,0.805768,-2.969477,-2.969477,0.000000,0.000000,0.000000,300.688204,246.203588,265.129020,0.000000,-3.584512,-0.510053,-0.104982,1.000000,2.000000,0.020000,0.133400,-0.235547,0.000000,-10.502299,-8.814411,-1.452341,0.000000,0.000000,-0.510053,-0.104986,-0.000151,0.000000,0.000000,0.000000,0.005505,0.005664,0.005848,0.005561,0.237924,4.890620,0.096995,2.677823,0.000000,315.103581,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5004.170983,5004.170983
01/03/2012 08:00,734929.333333,0.333333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,5.208802,0.724197,0.000000,5.242994,0.690454,0.398189,0.323854,1.132829,1.454396,1.454396,13.759466,0.000000,13.759466,301.489393,244.977982,272.367635,2.941586,-2.364062,-0.684310,-0.192562,1.000000,2.000000,0.020000,0.133400,1.436565,7.739910,-13.806702,-7.087909,-0.415448,0.000000,0.000000,-0.684310,-0.192559,-0.000277,0.000000,0.000000,0.000000,0.005704,0.005735,0.005858,0.005724,0.277170,2.712405,0.096995,2.812872,3.077969,317.169907,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5004.766917,5004.766917
01/03/2012 09:00,734929.375000,0.375000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,5.228344,0.724196,0.000000,5.142992,0.594098,0.675461,1.071873,1.710753,6.084762,6.084762,24.835872,0.000000,24.835872,303.457842,244.526698,280.638611,5.309580,-0.453889,-1.009315,-0.219756,1.000000,2.000000,0.020000,0.133400,1.292945,13.970534,-17.607135,-5.322522,0.392975,0.000000,0.000000,-1.009315,-0.219738,-0.000316,0.000056,0.000000,0.000000,0.006022,0.005851,0.005817,0.005848,0.328510,1.686466,0.096995,2.987696,5.555758,320.367688,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5005.362872,5005.362872
01/03/2012 10:00,734929.416667,0.416667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,23.637442,0.577012,0.000000,9.042992,1.150368,6.651256,14.959155,11.387112,131.912688,131.912688,377.565993,213.455182,164.110811,320.556991,257.814033,296.497786,83.273425,32.314252,-14.515289,-1.809721,1.000000,2.000000,0.020000,0.133400,4.162167,213.900198,-120.976426,37.269878,51.491727,0.000000,0.000000,-14.515289,-1.806427,-0.002617,0.063735,0.000000,0.000000,0.015590,0.008933,0.006056,0.009247,-1.450195,0.261494,0.137854,4.795044,80.392370,385.013664,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47030.000000,0.000000,5005.958847,5005.958847
