decade,altitude,q25,median,q75,scenario_type
1996-2005,600,70.6111328889458,98.7003898149298,200.076808033749,1.Observation
1996-2005,800,147.697912605765,207.239201533561,290.196976143846,1.Observation
1996-2005,1000,238.593343702545,328.955848657983,444.942063649495,1.Observation
1996-2005,1200,381.484015687245,534.965019672695,673.338982793609,1.Observation
1996-2005,1400,482.853708239595,680.070257063905,933.348555551276,1.Observation
1996-2005,1600,633.751429035814,758.273459677812,1177.53096638155,1.Observation
1996-2005,1800,728.655742034891,987.918203741386,1333.46591072231,1.Observation
1996-2005,2000,872.352300864887,1355.97192229957,1550.57476226544,1.Observation
1996-2005,2200,1066.09143299112,1670.52149179745,1978.75159715557,1.Observation
1996-2005,2400,1449.23026417581,1958.7960551457,2619.68265510798,1.Observation
1996-2005,2600,1877.0284382304,2259.17813079699,3049.76792961536,1.Observation
1996-2005,2800,2503.90416449269,2839.24378298269,3602.11748503985,1.Observation
2006-2015,600,41.8809383336587,90.9257894616439,189.788302145337,1.Observation
2006-2015,800,67.4890787830955,186.249767256673,310.734777457773,1.Observation
2006-2015,1000,119.238147202032,444.162746505134,563.60264280413,1.Observation
2006-2015,1200,251.456035856556,665.032344193432,941.961603922903,1.Observation
2006-2015,1400,408.460042910433,806.305422052609,1178.79804099895,1.Observation
2006-2015,1600,579.827584596302,918.702754584754,1413.25200804221,1.Observation
2006-2015,1800,919.191892111464,1031.82267322376,1734.75502281708,1.Observation
2006-2015,2000,1167.87070955341,1424.88023144936,2190.73866908403,1.Observation
2006-2015,2200,1372.90986731015,1890.38000582569,2561.02089481069,1.Observation
2006-2015,2400,1744.05287976476,2428.42325749345,2960.44418681216,1.Observation
2006-2015,2600,2087.06180697617,2825.49674874092,3398.54040803577,1.Observation
2006-2015,2800,2540.2610957329,3360.45312835597,4169.08882419616,1.Observation
RCP 4.5,600,17.4358730468014,21.4421641160868,72.8417953911619,2.Forecast
RCP 4.5,800,35.037045693083,59.3717479924867,132.005783849254,2.Forecast
RCP 4.5,1000,106.06277812541,143.333669376145,360.229431695154,2.Forecast
RCP 4.5,1200,209.001095989781,452.295667499735,681.469400809839,2.Forecast
RCP 4.5,1400,359.890797595325,713.052019745069,1025.31346661079,2.Forecast
RCP 4.5,1600,514.731282610484,823.953974684609,1309.21987928044,2.Forecast
RCP 4.5,1800,703.796155475624,965.554141976851,1616.25903845879,2.Forecast
RCP 4.5,2000,1007.40577082813,1149.17912759423,2044.39204418515,2.Forecast
RCP 4.5,2200,1290.10418025257,1425.45017372352,2499.81273824624,2.Forecast
RCP 4.5,2400,1569.69263865474,2065.7840508224,3028.29379767953,2.Forecast
RCP 4.5,2600,1913.5202762806,2629.85960661922,3469.51051834203,2.Forecast
RCP 4.5,2800,2408.72363628615,3219.33502150195,4267.85119270645,2.Forecast
RCP 8.5,600,9.04636096820037,15.2616306664623,45.6857514448934,2.Forecast
RCP 8.5,800,18.9627857753539,44.9651022461775,82.997824269464,2.Forecast
RCP 8.5,1000,44.4821138486625,95.3803867846727,219.503798296411,2.Forecast
RCP 8.5,1200,113.748173146544,292.592949225971,461.880128692239,2.Forecast
RCP 8.5,1400,238.678279559282,635.779067971533,824.612263753912,2.Forecast
RCP 8.5,1600,421.650052443904,824.538755684216,1175.73360264593,2.Forecast
RCP 8.5,1800,636.867338369662,1001.37759827919,1474.12740287971,2.Forecast
RCP 8.5,2000,916.476095701615,1189.12232029658,1870.77442944877,2.Forecast
RCP 8.5,2200,1244.83598672995,1446.30953536968,2297.1839923492,2.Forecast
RCP 8.5,2400,1621.59486291272,1983.22533858254,2815.36863339282,2.Forecast
RCP 8.5,2600,1984.91523028746,2593.59783902755,3267.99001041547,2.Forecast
RCP 8.5,2800,2480.13067752475,3155.00209093788,3826.1846379245,2.Forecast
