decade,altitude,q25,median,q75,scenario_type
1996-2005,600,5.99433557868953,13.6082363747704,29.7832210655236,1.Observation
1996-2005,800,19.7689271447594,32.7974129731786,48.3856286855621,1.Observation
1996-2005,1000,47.2097222222222,60.1815170940171,63.1509615384615,1.Observation
1996-2005,1200,78.3192289039767,93.5679760750081,98.7669738118332,1.Observation
1996-2005,1400,95.006455064194,105.551426533524,127.41754636234,1.Observation
1996-2005,1600,108.020054433462,117.945065176909,139.472962326314,1.Observation
1996-2005,1800,124.514328337497,135.195670274771,149.731855398279,1.Observation
1996-2005,2000,145.692751432209,151.609802673456,160.791613621897,1.Observation
1996-2005,2200,161.293650080833,164.271151428058,169.612672893839,1.Observation
1996-2005,2400,172.792446116307,175.718483123221,178.735461569744,1.Observation
1996-2005,2600,176.161118897454,179.906447091801,180.919469750058,1.Observation
1996-2005,2800,177.791059697229,180.854612967724,180.990002856327,1.Observation
2006-2015,600,2.39658603796693,15.4557562767912,42.3251684017146,1.Observation
2006-2015,800,7.85799885866464,27.5729503519117,65.5954917253186,1.Observation
2006-2015,1000,23.9656517094017,50.9942307692308,96.4728632478632,1.Observation
2006-2015,1200,45.5425153572583,90.9895732298739,117.818865179437,1.Observation
2006-2015,1400,71.762482168331,112.584236804565,131.641084165478,1.Observation
2006-2015,1600,98.4084300243518,137.59153416416,141.831399512964,1.Observation
2006-2015,1800,133.429156258673,152.302456286428,159.465965861782,1.Observation
2006-2015,2000,154.596475175048,160.82789624443,172.734643539147,1.Observation
2006-2015,2200,167.846102029819,171.825399676666,177.735405065565,1.Observation
2006-2015,2400,175.418767791785,178.496746644978,180.153466856446,1.Observation
2006-2015,2600,179.229969633263,180.244919411352,180.748540060733,1.Observation
2006-2015,2800,180.483647529277,180.930162810626,180.989860039989,1.Observation
RCP 4.5,600,0.0225811390079608,0.20529699938763,7.17330067360686,2.Forecast
RCP 4.5,800,1.17367319764124,4.42781053832985,20.5304831653034,2.Forecast
RCP 4.5,1000,8.53327991452992,22.6104700854701,61.8638354700855,2.Forecast
RCP 4.5,1200,24.995716133204,48.0674102812803,96.4179194956353,2.Forecast
RCP 4.5,1400,44.057239657632,81.4180456490728,115.200249643367,2.Forecast
RCP 4.5,1600,64.7389342501074,106.297808336914,128.535345938977,2.Forecast
RCP 4.5,1800,96.4510477379961,132.310782681099,140.208645573133,2.Forecast
RCP 4.5,2000,128.989338001273,151.182129217059,157.736274665818,2.Forecast
RCP 4.5,2200,154.533725525418,159.86671456799,172.681830429316,2.Forecast
RCP 4.5,2400,170.426138674258,173.491866612444,178.132269215128,2.Forecast
RCP 4.5,2600,177.232889511796,179.360663396403,180.196624620416,2.Forecast
RCP 4.5,2800,179.766923736075,180.69165952585,180.940302770637,2.Forecast
RCP 8.5,600,0,0.0551132884262094,1.07126454378445,2.Forecast
RCP 8.5,800,0.0624405554498764,1.43009320905459,8.18532432946547,2.Forecast
RCP 8.5,1000,2.07761752136752,12.2845085470085,41.4580128205128,2.Forecast
RCP 8.5,1200,12.3984804397026,36.611218881345,79.314904623343,2.Forecast
RCP 8.5,1400,35.2529600570613,61.4830242510699,104.559094151213,2.Forecast
RCP 8.5,1600,57.6470777825526,92.7114310270735,120.261459676264,2.Forecast
RCP 8.5,1800,85.8209478212601,121.724882042742,136.031605606439,2.Forecast
RCP 8.5,2000,124.176519732654,147.626591343094,150.903683959262,2.Forecast
RCP 8.5,2200,151.811074187174,157.785881084965,169.942877671996,2.Forecast
RCP 8.5,2400,165.685746238308,169.765351769012,176.484749898333,2.Forecast
RCP 8.5,2600,174.433485167017,177.844779257183,179.635949544499,2.Forecast
RCP 8.5,2800,178.934947157955,180.310054270209,180.729077406455,2.Forecast
