Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,stor
10,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
10,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
10,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
20,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
20,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
30,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.52325,5.00E-07
50,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
50,8.86E-04,8.86E-04,0.05,0.08,0.25,0.45450,0.005131,1.5235,5.00E-07
50,8.86E-04,8.86E-04,0.05,0.08,0.25,0.5450,0.005131,1.5235,5.00E-07
50,8.86E-04,8.86E-04,0.05,0.08,0.25,0.450,0.005131,1.525535,5.00E-07
100,8.86E-04,8.86E-04,0.05,0.08,0.25,0.450,0.005131,1.525235,5.00E-07
100,8.86E-04,8.86E-04,0.05,0.08,0.25,0.450,0.005131,1.525235,5.00E-07
100,8.86E-04,8.86E-04,0.05,0.08,0.25,0.5450,0.005131,1.525235,5.00E-07
100,8.86E-04,8.86E-04,0.05,0.08,0.25,0.5450,0.005131,1.525235,5.00E-07
150,8.86E-04,8.86E-04,0.05,0.08,0.25,0.5450,0.005131,1.525235,5.00E-07
150,8.86E-04,8.86E-04,0.05,0.08,0.25,0.5450,0.005131,1.525235,5.00E-07
