Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,25.000000 ,40.000000 ,60.000000 ,85.000000 ,125.000000 ,175.000000 ,225.000000 ,275.000000 ,350.000000 ,450.000000 ,550.000000 ,650.000000 ,775.000000 ,925.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-2300.000000,-2300.000000,-2000.000000,-2000.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000,-2500.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-2284.377488,-2231.080697,-2070.446215,-2049.394410,-2440.528327,-2498.120164,-2505.902597,-2488.833385,-2499.961467,-2499.999783,-2499.999978,-2499.999995,-2499.999999,-2500.000000,-2500.000001,-2500.001956 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-2264.509371,-2206.214368,-2109.091749,-2088.676977,-2399.939514,-2494.429251,-2509.376427,-2481.598972,-2499.894215,-2499.999100,-2499.999886,-2499.999971,-2499.999995,-2499.999999,-2500.000002,-2500.003912 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-2247.083091,-2197.167720,-2133.797310,-2119.745214,-2372.061357,-2489.409057,-2511.273939,-2476.789785,-2499.806898,-2499.997747,-2499.999664,-2499.999905,-2499.999980,-2499.999996,-2500.000004,-2500.005867 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-2233.903130,-2194.322099,-2151.214433,-2144.331298,-2352.979637,-2483.555712,-2512.129175,-2473.485056,-2499.705167,-2499.995606,-2499.999263,-2499.999768,-2499.999947,-2499.999988,-2500.000006,-2500.007820 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-2224.666772,-2194.143258,-2164.405860,-2163.960620,-2339.950987,-2477.277577,-2512.286266,-2471.104118,-2499.592733,-2499.992635,-2499.998654,-2499.999534,-2499.999883,-2499.999972,-2500.000006,-2500.009773 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-2218.611199,-2195.263791,-2174.905950,-2179.812644,-2331.112814,-2470.881630,-2511.969968,-2469.277225,-2499.472006,-2499.988838,-2499.997828,-2499.999182,-2499.999778,-2499.999943,-2500.000005,-2500.011723 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-2214.982219,-2197.118401,-2183.594838,-2192.795581,-2325.176047,-2464.573612,-2511.326963,-2467.769085,-2499.344485,-2499.984242,-2499.996793,-2499.998696,-2499.999620,-2499.999895,-2500.000000,-2500.013673 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-2213.178157,-2199.448631,-2191.014432,-2203.588536,-2321.256910,-2458.481708,-2510.452582,-2466.431040,-2499.211022,-2499.978873,-2499.995563,-2499.998070,-2499.999400,-2499.999824,-2499.999989,-2500.015619 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-2212.273460,-2201.976992,-2197.772103,-2213.196704,-2318.502324,-2452.538611,-2509.456245,-2465.157538,-2499.073925,-2499.973044,-2499.994227,-2499.997363,-2499.999142,-2499.999738,-2499.999974,-2500.017565 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-2212.635410,-2204.814982,-2203.679875,-2221.265596,-2316.924625,-2446.942017,-2508.306654,-2463.936383,-2498.931409,-2499.966458,-2499.992714,-2499.996510,-2499.998812,-2499.999622,-2499.999951,-2500.019507 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-2213.903319,-2207.866832,-2208.956055,-2228.130508,-2316.166200,-2441.743295,-2507.048848,-2462.712388,-2498.783621,-2499.959125,-2499.991042,-2499.995513,-2499.998404,-2499.999471,-2499.999918,-2500.021445 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-2215.796386,-2211.028989,-2213.707034,-2233.995682,-2316.003195,-2437.013279,-2505.716717,-2461.459672,-2498.630498,-2499.951044,-2499.989224,-2499.994369,-2499.997909,-2499.999277,-2499.999872,-2500.023379 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,-2218.591162,-2214.729723,-2218.536845,-2239.560995,-2316.687406,-2433.336959,-2504.900731,-2460.245893,-2498.472564,-2499.942309,-2499.987296,-2499.993091,-2499.997327,-2499.999038,-2499.999809,-2500.025307 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,-2226.056922,-2222.844914,-2227.460021,-2248.953368,-2322.046498,-2435.434821,-2508.972010,-2459.999158,-2498.312301,-2499.933036,-2499.985303,-2499.991703,-2499.996666,-2499.998755,-2499.999730,-2500.027228 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,-2238.620317,-2235.820399,-2240.931094,-2262.609090,-2332.513017,-2443.624201,-2518.530674,-2460.374249,-2498.154475,-2499.922910,-2499.983241,-2499.990178,-2499.995888,-2499.998399,-2499.999620,-2500.029138 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,-2255.937923,-2253.428696,-2258.880624,-2280.625451,-2347.933104,-2457.650507,-2533.781612,-2460.807518,-2497.998514,-2499.912046,-2499.981101,-2499.988566,-2499.995035,-2499.997991,-2499.999488,-2500.031037 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,-2281.717991,-2279.413810,-2285.103207,-2306.865047,-2372.228914,-2482.380501,-2559.696216,-2461.341663,-2497.844603,-2499.900374,-2499.978850,-2499.986863,-2499.994107,-2499.997533,-2499.999331,-2500.032926 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,-2311.224943,-2309.065782,-2314.915206,-2336.654661,-2400.592740,-2511.977313,-2590.385512,-2461.996546,-2497.693200,-2499.887859,-2499.976459,-2499.985057,-2499.993104,-2499.997022,-2499.999149,-2500.034803 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,-2342.125050,-2340.068442,-2346.023368,-2367.718363,-2430.638678,-2543.575081,-2622.953375,-2462.780511,-2497.544943,-2499.874505,-2499.973912,-2499.983140,-2499.992023,-2499.996458,-2499.998940,-2500.036667 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,-2372.986098,-2371.003552,-2377.027134,-2398.666912,-2460.877768,-2575.475433,-2655.683041,-2463.694676,-2497.400586,-2499.860346,-2499.971204,-2499.981104,-2499.990862,-2499.995840,-2499.998703,-2500.038518 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,-2400.993529,-2399.062617,-2405.125033,-2426.694248,-2488.365560,-2604.006054,-2684.856279,-2464.724676,-2497.260863,-2499.845439,-2499.968342,-2499.978944,-2499.989617,-2499.995166,-2499.998438,-2500.040354 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,-2425.037376,-2423.143259,-2429.221783,-2450.700139,-2511.891405,-2627.784131,-2709.068114,-2465.849822,-2497.126435,-2499.829857,-2499.965340,-2499.976660,-2499.988287,-2499.994434,-2499.998143,-2500.042175 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,-2443.289825,-2441.421402,-2447.495195,-2468.849637,-2529.501448,-2644.428035,-2725.902699,-2467.038946,-2496.997835,-2499.813684,-2499.962220,-2499.974257,-2499.986869,-2499.993644,-2499.997818,-2500.043981 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,-2454.875923,-2453.024652,-2459.074175,-2480.261497,-2540.223861,-2652.800508,-2734.199298,-2468.255574,-2496.875438,-2499.797015,-2499.959009,-2499.971745,-2499.985366,-2499.992793,-2499.997461,-2500.045770 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,-2459.988077,-2458.153426,-2464.167969,-2485.151835,-2544.266982,-2653.027708,-2734.118460,-2469.467907,-2496.757501,-2499.780046,-2499.955748,-2499.969166,-2499.983808,-2499.991903,-2499.997084,-2500.047549 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,-2462.864621,-2461.025880,-2466.986297,-2487.739459,-2545.862386,-2650.599913,-2731.134093,-2470.659245,-2496.646653,-2499.762712,-2499.952439,-2499.966487,-2499.982158,-2499.990946,-2499.996670,-2500.049308 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,-2465.715834,-2463.858284,-2469.748125,-2490.247289,-2547.305634,-2648.374601,-2728.181785,-2471.828039,-2496.542309,-2499.745150,-2499.949126,-2499.963739,-2499.980431,-2499.989929,-2499.996222,-2500.051050 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,-2468.528409,-2466.645981,-2472.454341,-2492.677758,-2548.628468,-2646.327047,-2725.264547,-2472.973954,-2496.444346,-2499.727425,-2499.945837,-2499.960943,-2499.978634,-2499.988853,-2499.995741,-2500.052773 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,-2471.303352,-2469.387840,-2475.102954,-2495.030090,-2549.850966,-2644.436550,-2722.386098,-2474.096848,-2496.352624,-2499.709584,-2499.942591,-2499.958118,-2499.976776,-2499.987720,-2499.995226,-2500.054477 
