Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,25.000000 ,40.000000 ,60.000000 ,85.000000 ,125.000000 ,175.000000 ,225.000000 ,275.000000 ,350.000000 ,450.000000 ,550.000000 ,650.000000 ,775.000000 ,925.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,6.277355,5.861120,5.523272,5.116151,4.752152,4.434056,4.175379,4.069914,4.026503,4.010374,4.002202,4.000370,4.000062,4.000011,4.000001,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,8.049945,7.496810,7.013495,6.384623,5.747848,5.130153,4.538730,4.245315,4.105078,4.045700,4.011183,4.002143,4.000405,4.000077,4.000009,4.000001 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,9.075388,8.536800,8.043055,7.368410,6.623693,5.845404,5.002484,4.509234,4.241807,4.115047,4.031987,4.006908,4.001451,4.000304,4.000040,4.000005 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,9.421350,8.976075,8.550276,7.944211,7.225016,6.425424,5.466396,4.816894,4.423813,4.217937,4.068002,4.016386,4.003798,4.000870,4.000125,4.000016 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,9.627728,9.239351,8.862718,8.317781,7.647919,6.876381,5.885751,5.131923,4.632446,4.347512,4.120192,4.032003,4.008117,4.002020,4.000316,4.000046 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,9.713663,9.375593,9.043727,8.557485,7.944780,7.221515,6.246372,5.432015,4.850999,4.494675,4.187430,4.054638,4.015056,4.004043,4.000688,4.000108 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,9.857378,9.538527,9.226750,8.770522,8.193957,7.507776,6.557964,5.709755,5.068689,4.651378,4.267379,4.084592,4.025145,4.007242,4.001334,4.000228 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,10.094897,9.774240,9.463482,9.011898,8.446377,7.775443,6.839393,5.967831,5.280952,4.812201,4.357402,4.121694,4.038763,4.011909,4.002362,4.000436 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,10.319374,10.007012,9.702488,9.258193,8.700262,8.037776,7.108233,6.216109,5.489587,4.974315,4.452471,4.162744,4.054442,4.017467,4.003633,4.000701 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,10.496495,10.197521,9.904654,9.475364,8.931779,8.281767,7.358676,6.449903,5.691283,5.136663,4.554748,4.210458,4.073946,4.024797,4.005418,4.001098 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,10.282845,10.054843,9.825418,9.479917,9.019080,8.443105,7.574335,6.666515,5.884990,5.297392,4.662106,4.264172,4.097376,4.034125,4.007842,4.001672 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,9.213936,9.177129,9.117804,8.996191,8.757553,8.386003,7.691546,6.840280,6.061407,5.452509,4.772588,4.323281,4.124851,4.045721,4.011069,4.002491 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,9.397406,9.227661,9.076007,8.866285,8.605380,8.273821,7.704959,6.945777,6.203696,5.593084,4.882931,4.386585,4.156087,4.059644,4.015211,4.003615 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,10.635396,10.254074,9.912502,9.453779,8.958284,8.434075,7.763350,7.027181,6.316787,5.715242,4.989761,4.452544,4.190490,4.075733,4.020290,4.005080 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,11.433058,11.018576,10.635052,10.103324,9.497324,8.835141,7.993573,7.177547,6.440311,5.829723,5.090590,4.520263,4.228786,4.095005,4.026969,4.007213 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,12.312631,11.840663,11.401931,10.789971,10.082611,9.300756,8.302364,7.383494,6.591434,5.954406,5.191363,4.588934,4.269272,4.116318,4.034833,4.009904 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,12.930484,12.457694,12.009795,11.374359,10.618988,9.765986,8.651173,7.630671,6.770529,6.094180,5.295457,4.659120,4.311794,4.139562,4.043909,4.013216 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,13.326353,12.877382,12.445286,11.823064,11.063357,10.186020,9.004327,7.899816,6.971409,6.249187,5.405170,4.731580,4.356361,4.164660,4.054219,4.017211 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,13.557688,13.142191,12.737298,12.147189,11.410280,10.542096,9.337022,8.173072,7.185065,6.416371,5.521444,4.806995,4.403087,4.191583,4.065781,4.021943 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,13.595274,13.229539,12.867265,12.331337,11.644345,10.816800,9.629482,8.434490,7.401538,6.590784,5.643926,4.885791,4.452117,4.220337,4.078616,4.027464 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,13.609511,13.275970,12.944246,12.450977,11.810672,11.028850,9.878815,8.675268,7.612829,6.767254,5.771333,4.968063,4.503571,4.250951,4.092747,4.033823 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,13.481996,13.196358,12.907508,12.471775,11.892608,11.171621,10.079748,8.888613,7.812370,6.940908,5.901805,5.053581,4.557495,4.283454,4.108200,4.041069 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,13.222949,12.992538,12.753979,12.386759,11.882349,11.238032,10.226115,9.068300,7.994373,7.107194,6.033132,5.141817,4.613837,4.317862,4.125003,4.049246 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,12.794973,12.632978,12.456662,12.174299,11.763094,11.215614,10.309305,9.207469,8.153133,7.261649,6.162860,5.231991,4.672434,4.354164,4.143179,4.058397 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,12.073287,12.006028,11.920004,11.764224,11.493806,11.090783,10.335558,9.314341,8.294025,7.406750,6.290674,5.323103,4.732401,4.391669,4.162242,4.068186 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,11.815359,11.735268,11.646400,11.499459,11.266983,10.930400,10.291558,9.364759,8.398465,7.530729,6.412353,5.414772,4.794432,4.431193,4.182858,4.079119 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,11.676639,11.586682,11.491672,11.341113,11.117848,10.806953,10.232924,9.383429,8.473505,7.633842,6.525726,5.505583,4.857848,4.472415,4.204881,4.091125 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,11.339637,11.288410,11.226598,11.118956,10.940012,10.675787,10.164847,9.382417,8.526016,7.718086,6.629399,5.594344,4.922123,4.515159,4.228298,4.104236 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,11.100978,11.057181,11.005059,10.914644,10.763130,10.536000,10.083883,9.364511,8.560007,7.785773,6.722881,5.680069,4.986691,4.559206,4.253083,4.118478 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,10.823077,10.798703,10.764663,10.699784,10.579454,10.389512,9.992505,9.332460,8.578284,7.838831,6.806189,5.762006,5.051005,4.604299,4.279185,4.133873 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,10.638224,10.612415,10.579752,10.520476,10.414469,10.247970,9.895138,9.289145,8.583195,7.878909,6.879617,5.839620,5.114558,4.650161,4.306539,4.150431 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,10.505059,10.475193,10.440231,10.379979,10.278486,10.123492,9.800220,9.239559,8.577751,7.907839,6.943673,5.912566,5.176903,4.696513,4.335060,4.168155 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,10.488574,10.438859,10.387807,10.308504,10.192914,10.030904,9.717359,9.189854,8.565744,7.927897,6.999119,5.980673,5.237668,4.743081,4.364650,4.187037 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,10.459494,10.403920,10.346943,10.259050,10.134152,9.964275,9.650885,9.145331,8.551231,7.941756,7.046997,6.043952,5.296559,4.789609,4.395201,4.207061 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,10.286567,10.253869,10.215402,10.149729,10.043547,9.888920,9.589845,9.104933,8.536188,7.951586,7.088493,6.102572,5.353368,4.835866,4.426599,4.228201 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,10.106579,10.085325,10.058601,10.010360,9.925230,9.793652,9.522047,9.063009,8.519538,7.958090,7.124601,6.156806,5.407969,4.881655,4.458726,4.250419 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,10.894073,10.685644,10.509231,10.283539,10.054193,9.815233,9.485062,9.028100,8.502947,7.962097,7.156335,6.207193,5.460447,4.926859,4.491435,4.273612 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,11.870937,11.549919,11.263120,10.879022,10.469166,10.046609,9.544010,9.028502,8.496260,7.967075,7.184816,6.254239,5.510932,4.971421,4.524607,4.297680 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,12.532643,12.191311,11.875346,11.437535,10.941087,10.404214,9.740661,9.118689,8.535184,7.991591,7.214000,6.297376,5.558380,5.014763,4.558332,4.323073 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,13.297005,12.904232,12.539622,12.031862,11.447559,10.805791,9.997156,9.262173,8.610973,8.037639,7.248685,6.339563,5.604157,5.057252,4.592320,4.349303 
