Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,25.000000 ,40.000000 ,60.000000 ,85.000000 ,125.000000 ,175.000000 ,225.000000 ,275.000000 ,350.000000 ,450.000000 ,550.000000 ,650.000000 ,775.000000 ,925.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.234223,0.234223,0.251578,0.251578,0.224348,0.309649,0.326190,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.235047,0.237918,0.247191,0.248480,0.227161,0.309733,0.325921,0.187604,0.187304,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.236106,0.239291,0.244870,0.246089,0.229139,0.309897,0.325763,0.187800,0.187306,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.237046,0.239796,0.243418,0.244241,0.230526,0.310121,0.325677,0.187931,0.187308,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.237763,0.239956,0.242407,0.242805,0.231489,0.310383,0.325638,0.188021,0.187311,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.238270,0.239966,0.241650,0.241675,0.232153,0.310665,0.325631,0.188086,0.187314,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.238604,0.239903,0.241051,0.240773,0.232607,0.310952,0.325645,0.188136,0.187317,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.238804,0.239799,0.240559,0.240041,0.232913,0.311237,0.325675,0.188177,0.187321,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.238904,0.239669,0.240141,0.239437,0.233115,0.311513,0.325714,0.188214,0.187324,0.187304,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.238955,0.239527,0.239762,0.238903,0.233258,0.311783,0.325760,0.188249,0.187328,0.187304,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.238934,0.239369,0.239432,0.238457,0.233340,0.312038,0.325812,0.188283,0.187332,0.187304,0.187303,0.187303,0.187303,0.187303,0.187303,0.187303 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.238864,0.239199,0.239139,0.238080,0.233379,0.312275,0.325869,0.188316,0.187336,0.187304,0.187303,0.187303,0.187303,0.187303,0.187303,0.187302 
