DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
16/10/2010 13:00,0.041667,734427.541667,288.541667,3.803128e+02,-6.183182e+03,1.734623e-01,2.451309e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 14:00,0.083333,734427.583333,288.583333,2.582299e+02,-5.176077e+02,6.588512e-01,2.172244e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 15:00,0.125000,734427.625000,288.625000,2.216056e+02,-3.042701e+02,6.505566e-01,1.983163e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 16:00,0.166667,734427.666667,288.666667,1.698109e+02,-2.417498e+02,6.635681e-01,1.835240e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 17:00,0.208333,734427.708333,288.708333,1.521636e+02,-1.079320e+02,6.711690e-01,1.741847e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 18:00,0.250000,734427.750000,288.750000,1.527403e+02,1.016633e+01,6.499745e-01,1.690755e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 19:00,0.291667,734427.791667,288.791667,1.582707e+02,5.572240e+01,6.342772e-01,1.654066e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 20:00,0.333333,734427.833333,288.833333,1.631280e+02,8.476375e+01,6.242680e-01,1.626079e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 21:00,0.375000,734427.875000,288.875000,1.661335e+02,9.956093e+01,6.098129e-01,1.602333e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 22:00,0.416667,734427.916667,288.916667,1.677280e+02,1.075890e+02,5.964956e-01,1.580897e+07,0.000000e+00,0.000000e+00,0.000000e+00
16/10/2010 23:00,0.458333,734427.958333,288.958333,1.685413e+02,1.115830e+02,5.793399e-01,1.560601e+07,0.000000e+00,0.000000e+00,0.000000e+00
17/10/2010 00:00,0.500000,734428.000000,289.000000,1.689868e+02,1.188247e+02,5.968456e-01,1.542758e+07,0.000000e+00,0.000000e+00,0.000000e+00
17/10/2010 01:00,0.541667,734428.041667,289.041667,1.692689e+02,1.219362e+02,1.175513e-02,1.525722e+07,0.000000e+00,0.000000e+00,0.000000e+00
