DATE[day/month/year hour:min],t[days],JDfrom0,JD,snowDav,SWEav,Tav,Tsav,perc.SFA,perc.SCA
16/10/2010 13:00,0.041667,734427.541667,288.541667,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000
16/10/2010 14:00,0.083333,734427.583333,288.583333,10.039054,0.403959,-0.776251,-0.776251,99.941280,0.058720
16/10/2010 15:00,0.125000,734427.625000,288.625000,13.685720,0.468565,-0.621430,-0.621430,97.592484,2.407516
16/10/2010 16:00,0.166667,734427.666667,288.666667,15.983302,0.685420,-0.352365,-0.352365,95.361127,4.638873
16/10/2010 17:00,0.208333,734427.708333,288.708333,16.637413,0.873379,-0.414957,-0.414957,90.076336,9.923664
16/10/2010 18:00,0.250000,734427.750000,288.750000,18.718162,1.136847,-0.654154,-0.654154,85.672343,14.327657
16/10/2010 19:00,0.291667,734427.791667,288.791667,20.078428,1.334281,-0.803310,-0.803310,79.976512,20.023488
16/10/2010 20:00,0.333333,734427.833333,288.833333,22.241252,1.549816,-0.867095,-0.867095,76.218438,23.781562
16/10/2010 21:00,0.375000,734427.875000,288.875000,24.488483,1.755902,-0.893976,-0.893976,73.047563,26.952437
16/10/2010 22:00,0.416667,734427.916667,288.916667,26.834185,1.967439,-0.894856,-0.894856,70.463887,29.536113
16/10/2010 23:00,0.458333,734427.958333,288.958333,29.563306,2.200165,-0.887505,-0.887505,68.878450,31.121550
17/10/2010 0:00,0.500000,734428.000000,289.000000,32.273630,2.431564,-0.854079,-0.854079,67.586612,32.413388
17/10/2010 1:00,0.541667,734428.041667,289.041667,31.811584,2.424614,-0.809832,-0.809832,67.527892,32.472108
17/10/2010 2:00,0.583333,734428.083333,289.083333,31.410682,2.420505,-0.842999,-0.842999,67.527892,32.472108
17/10/2010 3:00,0.625000,734428.125000,289.125000,30.949524,2.409808,-0.877513,-0.877513,67.410452,32.589548
17/10/2010 4:00,0.666667,734428.166667,289.166667,30.576958,2.405663,-0.908974,-0.908974,67.410452,32.589548
17/10/2010 5:00,0.708333,734428.208333,289.208333,30.303403,2.407919,-0.940979,-0.940979,67.410452,32.589548
17/10/2010 6:00,0.750000,734428.250000,289.250000,29.840965,2.394841,-0.963658,-0.963658,67.234292,32.765708
17/10/2010 7:00,0.791667,734428.291667,289.291667,29.742301,2.407872,-0.966893,-0.966893,67.116853,32.883147
17/10/2010 8:00,0.833333,734428.333333,289.333333,30.174959,2.459922,-0.870298,-0.870298,66.764533,33.235467
17/10/2010 9:00,0.875000,734428.375000,289.375000,30.570676,2.507147,-0.608174,-0.608174,65.883735,34.116265
17/10/2010 10:00,0.916667,734428.416667,289.416667,30.252316,2.509928,-0.418207,-0.418207,65.531415,34.468585
17/10/2010 11:00,0.958333,734428.458333,289.458333,29.981499,2.524410,-0.337458,-0.337458,65.531415,34.468585
17/10/2010 12:00,1.000000,734428.500000,289.500000,29.238395,2.516187,-0.198329,-0.198329,65.590135,34.409865
17/10/2010 13:00,1.041667,734428.541667,289.541667,28.844011,2.530331,-0.175601,-0.175601,65.883735,34.116265
17/10/2010 14:00,1.083333,734428.583333,289.583333,28.639476,2.545347,-0.305068,-0.305068,65.883735,34.116265
17/10/2010 15:00,1.125000,734428.625000,289.625000,28.357827,2.554090,-0.296877,-0.296877,65.942454,34.057546
17/10/2010 16:00,1.166667,734428.666667,289.666667,28.215885,2.566560,-0.593576,-0.593576,65.883735,34.116265
17/10/2010 17:00,1.208333,734428.708333,289.708333,27.974595,2.566740,-0.882315,-0.882315,65.825015,34.174985
17/10/2010 18:00,1.250000,734428.750000,289.750000,27.723222,2.567686,-1.134242,-1.134242,65.825015,34.174985
17/10/2010 19:00,1.291667,734428.791667,289.791667,27.525161,2.573422,-1.247249,-1.247249,65.883735,34.116265
