Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
16/10/2010 12:00,734427.500000,0.000000,0,1,3,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
16/10/2010 13:00,734427.541667,0.041667,1,1,3,3.399450,3.504509,3.620552,3.784987,3.962030,3.997726,3.999961,4.000000 
16/10/2010 14:00,734427.583333,0.083333,1,1,3,2.951811,3.099717,3.267650,3.520880,3.865108,3.985390,3.999537,3.999996 
16/10/2010 15:00,734427.625000,0.125000,1,1,3,2.382269,2.589277,2.826657,3.191644,3.720683,3.958017,3.998071,3.999979 
16/10/2010 16:00,734427.666667,0.166667,1,1,3,1.875353,2.117500,2.398850,2.842832,3.536065,3.912561,3.994756,3.999924 
16/10/2010 17:00,734427.708333,0.208333,1,1,3,1.523341,1.770661,2.062477,2.536289,3.333376,3.848967,3.988776,3.999796 
16/10/2010 18:00,734427.750000,0.250000,1,1,3,1.100783,1.375688,1.699916,2.227077,3.124947,3.769997,3.979477,3.999550 
16/10/2010 19:00,734427.791667,0.291667,1,1,3,0.898368,1.155825,1.464412,1.980742,2.919458,3.678483,3.966405,3.999131 
16/10/2010 20:00,734427.833333,0.333333,1,1,3,0.733488,0.981422,1.280278,1.785872,2.732987,3.578995,3.949347,3.998482 
16/10/2010 21:00,734427.875000,0.375000,1,1,3,0.618642,0.854487,1.140335,1.628867,2.567466,3.475990,3.928350,3.997544 
16/10/2010 22:00,734427.916667,0.416667,1,1,3,0.464846,0.702019,0.988973,1.478337,2.418385,3.372716,3.903663,3.996262 
16/10/2010 23:00,734427.958333,0.458333,1,1,3,0.307611,0.546475,0.835462,1.328466,2.277915,3.270583,3.875625,3.994588 
17/10/2010 00:00,734428.000000,0.500000,1,1,3,0.055679,0.314672,0.625762,1.150099,2.137634,3.169679,3.844582,3.992478 
17/10/2010 01:00,734428.041667,0.541667,1,1,3,-0.008553,0.220977,0.505851,1.004118,1.996558,3.069026,3.810812,3.989895 
17/10/2010 02:00,734428.083333,0.583333,1,1,3,-0.009175,0.199681,0.462793,0.926325,1.876141,2.970046,3.774576,3.986807 
17/10/2010 03:00,734428.125000,0.625000,1,1,3,-0.010023,0.183897,0.432320,0.870533,1.777829,2.875453,3.736240,3.983184 
17/10/2010 04:00,734428.166667,0.666667,1,1,3,-0.011167,0.170349,0.407443,0.825402,1.695919,2.786759,3.696251,3.979008 
17/10/2010 05:00,734428.208333,0.708333,1,1,3,-0.012964,0.157577,0.385710,0.786997,1.625913,2.704423,3.655062,3.974265 
17/10/2010 06:00,734428.250000,0.750000,1,1,3,-0.015266,0.145708,0.366407,0.753428,1.564771,2.628313,3.613090,3.968949 
