Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
16/10/2010 12:00,734427.500000,0.000000,0,1,5,0.194900,0.196900,0.199454,0.204208,0.039932,0.042326,0.048662,0.086850 
16/10/2010 13:00,734427.541667,0.041667,1,1,5,0.199274,0.196823,0.199265,0.204054,0.182968,0.203820,0.048638,0.086850 
16/10/2010 14:00,734427.583333,0.083333,1,1,5,0.203158,0.197117,0.199122,0.203939,0.182865,0.203714,0.048621,0.086850 
16/10/2010 15:00,734427.625000,0.125000,1,1,5,0.206763,0.197764,0.199044,0.203864,0.182804,0.203649,0.048610,0.086850 
16/10/2010 16:00,734427.666667,0.166667,1,1,5,0.210214,0.198729,0.199046,0.203829,0.182783,0.203625,0.048607,0.086850 
16/10/2010 17:00,734427.708333,0.208333,1,1,5,0.213573,0.199953,0.199116,0.203812,0.182780,0.203618,0.048606,0.086850 
16/10/2010 18:00,734427.750000,0.250000,1,1,5,0.216400,0.201351,0.199246,0.203800,0.182779,0.203615,0.048606,0.086850 
16/10/2010 19:00,734427.791667,0.291667,1,1,5,0.218418,0.202816,0.199436,0.203791,0.182779,0.203612,0.048606,0.086850 
16/10/2010 20:00,734427.833333,0.333333,1,1,5,0.219807,0.204251,0.199684,0.203786,0.182778,0.203609,0.048606,0.086850 
16/10/2010 21:00,734427.875000,0.375000,1,1,5,0.220627,0.205586,0.199985,0.203785,0.182777,0.203606,0.048606,0.086850 
16/10/2010 22:00,734427.916667,0.416667,1,1,5,0.221149,0.206784,0.200331,0.203788,0.182777,0.203603,0.048606,0.086850 
16/10/2010 23:00,734427.958333,0.458333,1,1,5,0.221380,0.207835,0.200713,0.203797,0.182776,0.203600,0.048606,0.086850 
17/10/2010 00:00,734428.000000,0.500000,1,1,5,0.221272,0.208729,0.201122,0.203811,0.182776,0.203597,0.048606,0.086850 
17/10/2010 01:00,734428.041667,0.541667,1,1,5,0.219648,0.209374,0.201543,0.203830,0.182776,0.203595,0.048606,0.086850 
17/10/2010 02:00,734428.083333,0.583333,1,1,5,0.218241,0.209754,0.201959,0.203853,0.182776,0.203592,0.048606,0.086850 
17/10/2010 03:00,734428.125000,0.625000,1,1,5,0.217095,0.209973,0.202369,0.203884,0.182777,0.203589,0.048606,0.086850 
17/10/2010 04:00,734428.166667,0.666667,1,1,5,0.216109,0.210076,0.202760,0.203921,0.182778,0.203586,0.048606,0.086850 
17/10/2010 05:00,734428.208333,0.708333,1,1,5,0.215238,0.210094,0.203125,0.203961,0.182779,0.203583,0.048606,0.086850 
17/10/2010 06:00,734428.250000,0.750000,1,1,5,0.214459,0.210052,0.203463,0.204005,0.182780,0.203580,0.048606,0.086850 
17/10/2010 07:00,734428.291667,0.791667,1,1,5,0.213774,0.209973,0.203776,0.204053,0.182782,0.203577,0.048606,0.086850 
17/10/2010 08:00,734428.333333,0.833333,1,1,5,0.215207,0.209991,0.204075,0.204107,0.182784,0.203574,0.048606,0.086850 
17/10/2010 09:00,734428.375000,0.875000,1,1,5,0.222547,0.210490,0.204352,0.204157,0.182783,0.203570,0.048606,0.086850 
17/10/2010 10:00,734428.416667,0.916667,1,1,5,0.225726,0.211529,0.204654,0.204208,0.182781,0.203563,0.048605,0.086850 
17/10/2010 11:00,734428.458333,0.958333,1,1,5,0.229511,0.212882,0.205005,0.204262,0.182778,0.203555,0.048604,0.086850 
17/10/2010 12:00,734428.500000,1.000000,1,1,5,0.230980,0.214375,0.205420,0.204318,0.182773,0.203545,0.048603,0.086850 
17/10/2010 13:00,734428.541667,1.041667,1,1,5,0.237353,0.216274,0.205910,0.204380,0.182767,0.203535,0.048602,0.086850 
17/10/2010 14:00,734428.583333,1.083333,1,1,5,0.240309,0.218567,0.206508,0.204450,0.182764,0.203526,0.048601,0.086850 
17/10/2010 15:00,734428.625000,1.125000,1,1,5,0.241716,0.220747,0.207217,0.204525,0.182758,0.203515,0.048600,0.086850 
17/10/2010 16:00,734428.666667,1.166667,1,1,5,0.242039,0.222578,0.208014,0.204616,0.182759,0.203511,0.048599,0.086850 
17/10/2010 17:00,734428.708333,1.208333,1,1,5,0.239846,0.223817,0.208848,0.204717,0.182761,0.203508,0.048599,0.086850 
17/10/2010 18:00,734428.750000,1.250000,1,1,5,0.237251,0.224425,0.209663,0.204827,0.182763,0.203505,0.048599,0.086850 
17/10/2010 19:00,734428.791667,1.291667,1,1,5,0.235164,0.224618,0.210425,0.204947,0.182766,0.203502,0.048599,0.086850 
17/10/2010 20:00,734428.833333,1.333333,1,1,5,0.233405,0.224569,0.211118,0.205075,0.182768,0.203500,0.048599,0.086850 
17/10/2010 21:00,734428.875000,1.375000,1,1,5,0.231879,0.224377,0.211737,0.205210,0.182771,0.203497,0.048599,0.086850 
17/10/2010 22:00,734428.916667,1.416667,1,1,5,0.230523,0.224098,0.212283,0.205352,0.182774,0.203494,0.048599,0.086850 
17/10/2010 23:00,734428.958333,1.458333,1,1,5,0.229247,0.223791,0.212769,0.205502,0.182779,0.203492,0.048599,0.086850 
18/10/2010 00:00,734429.000000,1.500000,1,1,5,0.222778,0.223161,0.213187,0.205658,0.182784,0.203489,0.048599,0.086850 
18/10/2010 01:00,734429.041667,1.541667,1,1,5,0.208452,0.221595,0.213489,0.205813,0.182788,0.203486,0.048599,0.086850 
18/10/2010 02:00,734429.083333,1.583333,1,1,5,0.190991,0.218691,0.213620,0.205966,0.182792,0.203484,0.048599,0.086850 
18/10/2010 03:00,734429.125000,1.625000,1,1,5,0.173130,0.214479,0.213535,0.206116,0.182797,0.203481,0.048599,0.086850 
18/10/2010 04:00,734429.166667,1.666667,1,1,5,0.155396,0.209111,0.213217,0.206259,0.182801,0.203478,0.048599,0.086850 
18/10/2010 05:00,734429.208333,1.708333,1,1,5,0.137907,0.202779,0.212649,0.206393,0.182806,0.203476,0.048599,0.086850 
18/10/2010 06:00,734429.250000,1.750000,1,1,5,0.119908,0.195582,0.211794,0.206511,0.182811,0.203473,0.048599,0.086850 
18/10/2010 07:00,734429.291667,1.791667,1,1,5,0.103005,0.187613,0.210623,0.206611,0.182817,0.203471,0.048599,0.086850 
18/10/2010 08:00,734429.333333,1.833333,1,1,5,0.098618,0.180258,0.209141,0.206687,0.182822,0.203468,0.048599,0.086850 
18/10/2010 09:00,734429.375000,1.875000,1,1,5,0.139820,0.177626,0.207496,0.206714,0.182802,0.203441,0.048595,0.086850 
18/10/2010 10:00,734429.416667,1.916667,1,1,5,0.247806,0.182463,0.205973,0.206630,0.182695,0.203325,0.048576,0.086850 
18/10/2010 11:00,734429.458333,1.958333,1,1,5,0.251584,0.198640,0.205159,0.206482,0.182535,0.203157,0.048549,0.086850 
18/10/2010 12:00,734429.500000,2.000000,1,1,5,0.240153,0.206378,0.204761,0.206213,0.182261,0.202873,0.048502,0.086850 
18/10/2010 13:00,734429.541667,2.041667,1,1,5,0.231725,0.209900,0.204522,0.205831,0.181878,0.202480,0.048437,0.086850 
18/10/2010 14:00,734429.583333,2.083333,1,1,5,0.225475,0.211300,0.204479,0.205511,0.181557,0.202150,0.048382,0.086850 
18/10/2010 15:00,734429.625000,2.125000,1,1,5,0.220992,0.211709,0.204605,0.205324,0.181368,0.201951,0.048350,0.086850 
18/10/2010 16:00,734429.666667,2.166667,1,1,5,0.217948,0.211720,0.204860,0.205278,0.181315,0.201889,0.048340,0.086850 
18/10/2010 17:00,734429.708333,2.208333,1,1,5,0.215929,0.211567,0.205145,0.205295,0.181320,0.201886,0.048340,0.086850 
18/10/2010 18:00,734429.750000,2.250000,1,1,5,0.214387,0.211313,0.205396,0.205316,0.181326,0.201884,0.048340,0.086850 
18/10/2010 19:00,734429.791667,2.291667,1,1,5,0.213139,0.211013,0.205614,0.205341,0.181331,0.201881,0.048340,0.086850 
18/10/2010 20:00,734429.833333,2.333333,1,1,5,0.201806,0.210297,0.205795,0.205369,0.181336,0.201878,0.048340,0.086850 
18/10/2010 21:00,734429.875000,2.375000,1,1,5,0.183511,0.208334,0.205897,0.205400,0.181342,0.201875,0.048340,0.086850 
18/10/2010 22:00,734429.916667,2.416667,1,1,5,0.162186,0.204805,0.205862,0.205430,0.181348,0.201872,0.048340,0.086850 
18/10/2010 23:00,734429.958333,2.458333,1,1,5,0.140366,0.199614,0.205640,0.205459,0.181354,0.201870,0.048340,0.086850 
19/10/2010 00:00,734430.000000,2.500000,1,1,5,0.118488,0.192822,0.205170,0.205483,0.181360,0.201867,0.048340,0.086850 
19/10/2010 01:00,734430.041667,2.541667,1,1,5,0.095946,0.184317,0.204384,0.205498,0.181366,0.201864,0.048340,0.086850 
19/10/2010 02:00,734430.083333,2.583333,1,1,5,0.075916,0.173856,0.203181,0.205498,0.181371,0.201862,0.048340,0.086850 
19/10/2010 03:00,734430.125000,2.625000,1,1,5,0.061379,0.161879,0.201461,0.205473,0.181375,0.201859,0.048340,0.086850 
